id,sector,region,nivel_educacion,tipo_negocio,estado_civil_inicio,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
SUJ-0011,Tecnología,CDMX,Universitario,Startup escalada,Soltero,29,5,8,5573,1.0,60.4,78,7.3,7.0,6.1,7.6,9.3,8.9,7.7,8.2,14,8.7,8.7,9.6,3,0,5.9,0.8,15,31.3,52,61,23.3,17.7,21.6,16.4,11.2,3.8,3.9,2.1
SUJ-0012,Salud/Farma,São Paulo,Maestría,Franquicia,Soltero,26,4,9,3059,1.0,32.5,71,6.6,7.6,6.9,4.0,7.3,7.7,6.68,5.0,31,2.2,5.9,7.5,3,1,5.3,1.2,132,24.1,55,41,12.9,25.1,17.0,11.2,20.8,12.2,0.0,0.8
SUJ-0013,Servicios,Bucaramanga,Universitario,Holding,Unión libre,25,5,11,1238,3.35,21.0,60,8.9,7.3,7.4,3.6,7.9,8.6,7.28,7.9,10,5.6,7.8,8.1,2,1,5.2,2.3,5,23.8,44,60,33.4,22.4,14.0,12.0,6.3,7.8,1.9,2.2
SUJ-0014,Tecnología,São Paulo,Doctorado,Startup escalada,Casado,29,2,7,2330,1.0,53.4,91,10.0,10.0,7.4,4.2,9.2,9.9,8.45,6.3,11,8.6,7.3,8.2,3,4,4.6,0.8,2,23.7,45,61,20.5,17.5,19.1,14.3,13.9,7.5,5.1,2.1
SUJ-0015,Tecnología,Cali,Universitario,Empresa propia,Soltero,27,6,7,1792,4.99,65.4,83,7.8,6.1,6.3,7.9,9.1,8.5,7.62,7.6,27,5.8,5.5,8.7,0,0,5.4,6.8,32,34.0,31,58,12.3,17.0,21.4,13.9,19.0,6.6,6.8,3.0
SUJ-0016,Tecnología,Buenos Aires,Universitario,Franquicia,Soltero,33,11,18,9832,22.17,52.6,57,4.9,4.2,4.2,5.1,5.2,6.4,5.0,6.2,28,5.9,6.4,8.5,2,3,5.3,2.1,10,39.2,62,66,40.7,16.9,5.5,10.0,12.2,5.0,6.0,3.7
SUJ-0017,Finanzas,Bucaramanga,Maestría,Empresa propia,Casado,21,13,21,13716,41.29,46.0,78,10.0,6.5,6.7,4.5,9.5,6.6,7.3,8.1,22,4.5,8.1,7.7,2,4,4.0,0.0,2,38.4,42,65,30.4,23.7,13.6,12.6,2.0,9.3,6.6,1.8
SUJ-0018,Retail/Comercio,CDMX,Maestría,Startup escalada,Casado,26,11,20,10194,7.23,36.2,69,7.8,5.8,6.1,5.2,6.4,6.4,6.28,8.4,15,10.0,7.3,6.0,0,3,3.2,5.3,5,29.5,51,65,32.5,21.7,14.1,12.7,14.9,3.1,0.0,1.0
SUJ-0019,Retail/Comercio,Bucaramanga,Posgrado,Empresa propia,Soltero,31,7,16,8256,2.44,19.6,79,6.6,4.9,5.9,6.7,9.1,7.8,6.83,6.7,28,8.5,8.6,6.6,0,3,4.6,3.9,31,29.6,48,62,22.5,10.6,13.2,22.7,12.8,13.2,4.4,0.6
SUJ-0020,Finanzas,Bucaramanga,Técnico,Empresa propia,Casado,26,13,16,2943,15.25,70.2,54,5.1,6.1,7.2,5.3,6.2,6.7,6.1,6.5,23,10.0,7.6,7.5,3,1,5.4,1.5,15,46.1,59,63,21.6,14.3,20.2,13.7,14.5,9.7,6.1,-0.1
SUJ-0021,Manufactura,Santiago,Universitario,Holding,Casado,30,15,24,9930,3.06,24.9,68,7.3,5.0,7.7,6.7,7.6,5.3,6.6,7.1,19,5.6,7.9,7.6,4,1,4.6,0.0,91,23.9,53,53,15.4,18.5,20.9,20.0,10.0,5.9,6.0,3.3
SUJ-0022,Tecnología,Cali,Doctorado,E-commerce,Soltero,29,7,9,7432,2.61,63.1,77,10.0,5.7,5.4,3.9,9.1,8.2,7.05,7.9,14,3.5,8.6,8.0,1,5,6.1,5.3,8,30.3,46,57,25.6,23.6,16.1,21.2,9.1,2.9,0.0,1.5
SUJ-0023,Finanzas,Monterrey,Maestría,Franquicia,Casado,23,3,10,500,3.41,36.9,58,5.9,5.8,4.7,6.1,5.6,5.3,5.57,6.7,26,0.5,6.2,7.2,5,1,4.6,4.1,6,19.1,73,54,27.5,21.6,12.5,12.5,9.4,8.9,6.9,0.7
SUJ-0024,Finanzas,Bogotá,Maestría,E-commerce,Casado,19,12,16,19054,10.52,47.5,76,8.5,5.0,8.7,3.7,9.7,6.0,6.93,7.2,21,8.8,5.5,9.5,0,1,6.6,1.0,159,42.2,57,70,17.7,5.7,21.9,24.4,14.0,14.7,1.8,-0.2
SUJ-0025,Retail/Comercio,Buenos Aires,Bachillerato,Empresa propia,Casado,21,2,9,666,4.93,22.9,68,6.5,5.6,5.1,6.7,7.4,5.9,6.2,5.1,27,6.7,9.2,7.9,1,4,6.3,1.7,7,22.5,57,62,31.4,16.8,18.6,17.6,3.3,5.0,3.3,4.0
SUJ-0026,Inmuebles,Bucaramanga,Universitario,Franquicia,Unión libre,19,3,4,5588,5.01,26.8,73,8.2,7.3,5.9,6.9,9.6,7.5,7.57,7.6,34,6.1,6.2,4.4,2,1,4.7,6.2,9,20.2,59,63,36.3,17.4,14.5,20.8,5.4,2.3,3.1,0.2
SUJ-0027,Tecnología,Lima,Posgrado,E-commerce,Soltero,17,1,9,5757,1.05,36.5,86,6.5,7.3,8.0,9.7,8.1,9.0,8.1,6.4,36,4.1,4.4,7.1,2,2,4.9,3.8,10,29.7,37,60,27.8,24.0,14.8,11.7,10.0,7.0,2.7,2.0
SUJ-0028,Retail/Comercio,Bucaramanga,Maestría,Startup escalada,Soltero,32,9,12,14512,3.54,43.2,109,10.0,9.8,8.9,7.6,10.0,10.0,9.38,7.8,34,7.8,9.3,7.0,1,2,4.6,2.4,2,26.6,38,58,34.1,5.2,24.7,18.5,12.2,1.3,3.1,0.9
SUJ-0029,Manufactura,Santiago,Bachillerato,Empresa propia,Unión libre,17,1,9,19540,1.52,31.6,73,7.8,7.6,10.0,4.8,8.1,7.1,7.57,8.1,17,6.1,6.3,8.1,1,5,5.2,1.3,32,25.6,61,60,29.2,11.4,17.3,15.3,11.5,9.7,5.4,0.2
SUJ-0030,Tecnología,São Paulo,Maestría,Startup escalada,Casado,37,10,17,22464,3.32,32.5,70,6.3,6.0,7.7,5.9,9.3,6.8,7.0,8.6,12,6.3,7.9,7.6,2,1,3.7,3.8,12,34.8,54,63,26.7,10.0,16.7,21.7,18.5,2.5,3.5,0.4
SUJ-0031,Manufactura,Monterrey,Posgrado,Holding,Unión libre,22,14,21,6745,5.34,21.8,98,5.6,3.7,9.5,7.6,10.0,9.6,7.67,7.2,19,2.1,8.1,7.9,1,2,5.2,3.9,14,32.4,35,68,24.9,20.4,18.1,11.5,14.5,8.0,2.6,-0.0
SUJ-0032,Tecnología,Lima,Universitario,Empresa propia,Soltero,24,13,19,9091,32.97,49.4,88,10.0,9.0,8.3,9.6,10.0,6.6,8.92,6.5,23,8.9,10.0,9.6,3,2,4.1,2.2,10,45.8,35,51,13.9,20.5,17.8,18.4,13.6,7.5,5.5,2.8
SUJ-0033,Tecnología,Buenos Aires,Universitario,Holding,Casado,17,2,4,741,2.51,58.0,96,7.3,7.9,10.0,5.4,10.0,9.5,8.35,9.6,35,5.6,5.7,8.1,3,1,5.1,1.4,3,27.0,45,67,21.2,21.1,14.2,18.9,9.2,8.5,4.3,2.6
SUJ-0034,Agroindustria,Lima,Universitario,Empresa propia,Soltero,28,1,12,5354,7.39,17.3,76,9.4,7.5,7.9,5.0,7.7,8.1,7.6,9.0,22,5.6,8.9,10.0,2,3,7.1,1.4,14,28.2,55,48,29.3,13.3,12.3,15.3,12.4,9.9,5.3,2.2
SUJ-0035,Salud/Farma,Cali,Posgrado,Empresa familiar,Soltero,24,4,10,18251,3.69,41.9,83,7.4,8.8,7.3,5.0,9.1,6.8,7.4,7.2,33,6.3,7.6,9.1,1,0,4.6,2.6,38,28.9,45,73,28.1,19.9,17.1,18.4,4.7,7.6,1.5,2.7
SUJ-0036,Inmuebles,CDMX,Bachillerato,Startup escalada,Soltero,26,10,16,4865,4.4,45.2,73,8.1,3.9,5.0,6.3,9.6,8.6,6.92,9.0,23,7.6,10.0,7.6,2,0,4.4,1.7,68,30.9,71,75,34.7,17.4,11.1,16.7,7.7,7.7,4.2,0.5
SUJ-0037,Finanzas,CDMX,Técnico,Empresa propia,Soltero,21,11,22,577,212.8,79.0,73,8.9,6.3,6.4,5.1,7.6,5.9,6.7,8.4,25,5.9,8.2,8.3,0,1,4.1,5.7,61,62.1,42,58,18.3,23.8,19.8,12.5,15.1,7.2,3.4,-0.1
SUJ-0038,Tecnología,Buenos Aires,Maestría,Empresa propia,Soltero,28,9,12,1791,1.0,21.2,74,9.5,8.4,6.9,6.4,8.2,8.1,7.92,9.9,38,6.9,6.8,10.0,1,0,5.5,1.5,44,24.2,42,52,21.3,26.0,17.7,15.7,9.5,6.2,2.3,1.3
SUJ-0039,Manufactura,Caracas,Técnico,Franquicia,Casado,21,9,15,4490,1.32,43.9,78,6.6,6.4,8.3,6.9,6.0,6.6,6.8,8.4,37,2.8,7.5,5.1,2,3,5.6,0.7,4,25.3,54,62,36.1,18.4,15.2,11.0,2.6,11.8,5.0,-0.1
SUJ-0040,Retail/Comercio,Monterrey,Universitario,Empresa propia,Soltero,26,16,23,2169,6.34,39.5,73,7.6,7.6,8.6,6.5,7.0,8.3,7.6,7.9,10,5.8,10.0,9.1,3,2,6.3,0.3,21,34.7,19,65,28.0,25.4,8.0,15.8,6.9,10.4,2.3,3.2
SUJ-0041,Tecnología,Caracas,Universitario,Empresa propia,Soltero,28,5,10,3984,2.7,49.9,91,7.8,6.1,8.6,6.8,9.4,8.9,7.93,6.8,24,6.5,7.8,9.6,1,2,7.3,5.4,88,30.7,48,53,21.4,14.3,22.3,15.8,10.2,9.6,4.9,1.5
SUJ-0042,Retail/Comercio,CDMX,Posgrado,Empresa propia,Soltero,34,4,11,3239,2.17,24.8,80,6.8,7.4,7.9,7.1,8.9,7.6,7.62,7.8,22,5.5,7.2,6.3,1,1,4.1,0.4,3,21.3,40,66,17.6,14.3,19.6,16.8,20.3,8.1,0.9,2.4
SUJ-0043,Tecnología,Medellín,Maestría,E-commerce,Soltero,30,2,6,3072,3.6,51.2,75,7.8,4.8,5.7,6.1,8.9,8.7,7.0,6.2,8,9.0,9.2,6.7,0,0,3.9,2.7,17,33.2,53,64,16.2,21.7,19.5,18.5,11.2,7.2,4.2,1.5
SUJ-0044,Servicios,Santiago,Universitario,Empresa propia,Unión libre,26,8,14,764,1.0,25.6,74,8.5,7.6,6.1,5.2,5.9,5.7,6.5,8.9,28,5.0,7.1,6.8,2,3,4.6,2.4,9,16.3,54,64,17.7,8.7,25.8,12.3,16.3,11.2,7.1,0.9
SUJ-0045,Finanzas,Buenos Aires,Maestría,Startup escalada,Soltero,25,6,12,17145,2.33,40.5,67,10.0,5.3,4.3,4.7,10.0,7.8,7.02,6.3,22,7.8,7.1,10.0,0,0,5.0,4.6,79,32.8,46,48,24.8,14.6,18.9,20.2,13.3,3.9,3.5,0.8
SUJ-0046,Manufactura,Buenos Aires,Posgrado,Startup escalada,Soltero,27,10,21,9439,1.63,4.0,58,6.0,7.1,5.3,4.4,6.7,6.9,6.07,8.3,32,5.9,7.4,7.8,0,2,4.8,2.9,2,16.1,65,79,25.7,18.5,21.9,15.9,7.2,7.0,3.0,0.8
SUJ-0047,Finanzas,Bogotá,Técnico,Franquicia,Casado,30,5,17,7812,3.24,40.8,86,8.5,9.1,8.7,8.5,9.0,8.5,8.72,7.2,13,7.4,9.3,6.4,2,1,4.8,4.2,2,27.0,39,65,25.8,18.6,17.2,13.2,11.8,10.1,2.1,1.2
SUJ-0048,Retail/Comercio,Bogotá,Técnico,Startup escalada,Casado,21,9,16,7460,7.36,24.7,86,8.7,6.4,9.2,6.6,8.2,8.9,8.0,8.5,28,8.6,7.6,4.9,0,4,5.2,1.5,131,37.5,48,75,25.4,18.1,19.9,12.8,13.6,5.5,2.4,2.3
SUJ-0049,Retail/Comercio,Cali,Universitario,Empresa propia,Casado,31,5,15,4040,3.86,36.4,57,6.5,7.4,5.1,4.8,5.3,4.1,5.53,8.6,8,7.6,9.1,9.2,1,1,5.2,2.2,2,25.4,62,70,17.4,13.4,20.8,15.0,20.3,9.1,3.3,0.7
SUJ-0050,Tecnología,Cali,Universitario,Empresa propia,Casado,20,6,9,13867,1.0,35.8,58,6.5,4.5,7.6,4.7,8.0,6.0,6.22,8.2,25,3.9,7.1,7.8,1,1,6.3,0.0,1,16.4,63,58,34.2,21.5,16.6,4.6,15.2,4.9,2.2,0.8
SUJ-0051,Salud/Farma,Bogotá,Maestría,E-commerce,Unión libre,28,6,20,21278,13.28,35.7,82,7.1,7.8,10.0,5.0,9.5,8.0,7.9,7.3,16,7.2,7.5,9.2,1,3,3.8,2.7,9,44.0,49,52,24.0,14.8,11.9,14.5,15.2,8.0,11.6,0.0
SUJ-0052,Inmuebles,Caracas,Posgrado,Franquicia,Soltero,29,1,6,500,2.38,14.8,68,3.8,5.9,8.1,3.3,7.9,9.0,6.33,8.3,17,7.6,6.5,8.2,2,2,5.6,4.6,24,26.8,44,61,26.6,28.8,18.2,11.1,3.5,7.8,3.3,0.7
SUJ-0053,Agroindustria,CDMX,Universitario,E-commerce,Unión libre,21,6,12,660,2.24,24.9,59,6.1,4.8,7.9,5.3,7.2,5.4,6.12,5.7,30,6.2,4.3,9.8,3,0,5.2,0.7,13,19.3,65,62,29.8,17.4,13.3,15.2,10.9,6.6,4.2,2.6
SUJ-0054,Servicios,Barranquilla,Técnico,Startup escalada,Casado,17,9,17,8990,14.51,29.8,51,8.3,5.8,4.3,3.1,6.7,3.4,5.27,9.5,0,5.8,7.4,4.8,0,0,5.4,3.6,1,29.1,68,65,25.4,11.3,27.1,15.0,5.6,12.4,2.9,0.3
SUJ-0055,Manufactura,Buenos Aires,Universitario,Empresa familiar,Casado,24,3,12,2154,2.91,23.0,66,7.1,5.2,4.7,5.9,8.2,7.0,6.35,8.9,29,8.2,7.3,8.7,1,1,6.2,2.7,16,25.6,48,60,38.2,10.8,17.9,5.9,12.8,9.1,3.1,2.2
SUJ-0056,Agroindustria,Medellín,Posgrado,Holding,Casado,17,14,19,19416,7.42,19.9,74,7.6,5.6,8.6,5.8,7.6,7.4,7.1,5.7,8,4.5,8.8,8.0,2,2,4.4,3.2,69,31.6,36,54,37.2,20.5,4.5,15.0,13.7,4.6,3.1,1.4
SUJ-0057,Tecnología,Buenos Aires,Universitario,Startup escalada,Casado,24,7,6,8806,7.5,62.2,68,7.2,6.0,8.8,6.8,8.5,6.4,7.28,9.6,24,5.0,8.0,7.0,4,2,6.1,4.5,4,29.5,57,74,28.4,21.7,23.1,7.3,11.5,5.4,2.0,0.6
SUJ-0058,Tecnología,Bucaramanga,Posgrado,Empresa propia,Soltero,18,4,12,3674,1.0,44.3,54,5.1,6.2,8.2,5.5,6.5,4.1,5.93,4.5,4,6.8,8.0,8.1,0,1,3.8,2.2,31,25.5,63,47,29.0,12.5,17.0,17.2,5.8,14.1,2.8,1.6
SUJ-0059,Tecnología,Monterrey,Técnico,Empresa propia,Soltero,44,4,7,4293,1.0,56.7,64,6.6,6.0,4.3,6.0,6.0,5.6,5.75,8.4,18,7.6,6.8,7.0,0,3,6.3,3.9,59,32.3,52,60,28.1,15.2,17.4,17.1,9.5,7.4,3.3,2.0
SUJ-0060,Finanzas,Santiago,Posgrado,Holding,Unión libre,32,12,21,9392,19.4,43.2,80,8.4,6.3,7.9,5.0,9.4,7.3,7.38,6.1,24,5.5,8.9,7.8,3,1,5.4,1.5,10,38.2,45,51,23.2,15.9,18.7,15.8,5.9,12.3,5.0,3.2
SUJ-0061,Finanzas,Barranquilla,Maestría,Franquicia,Casado,26,4,13,1215,5.58,69.8,94,9.4,7.1,7.3,4.4,8.8,9.0,7.67,7.5,18,9.1,9.1,5.9,2,6,6.0,5.1,3,32.2,45,63,35.4,19.8,4.1,11.9,8.9,12.2,6.0,1.7
SUJ-0062,Finanzas,Medellín,Universitario,Franquicia,Soltero,33,8,15,17192,18.39,55.7,73,7.9,6.0,7.0,7.4,6.9,5.1,6.72,8.1,31,0.0,5.0,8.5,3,4,5.4,0.3,1,31.5,46,71,26.2,14.7,18.7,15.5,12.1,4.5,6.9,1.4
SUJ-0063,Servicios,Bucaramanga,Universitario,Empresa propia,Casado,30,10,19,500,4.65,7.5,86,8.8,7.9,9.4,6.7,10.0,10.0,8.8,9.2,0,4.9,7.5,8.7,3,4,5.0,3.3,26,23.3,30,58,27.9,13.3,19.9,15.8,12.3,1.0,5.6,4.2
SUJ-0064,Finanzas,Cali,Doctorado,E-commerce,Casado,19,9,13,30885,41.65,73.5,82,8.5,5.5,8.5,6.2,8.1,10.0,7.8,7.5,31,5.0,6.2,9.2,1,1,6.3,3.5,23,45.7,40,53,19.2,14.4,26.2,9.8,14.0,10.3,5.4,0.7
SUJ-0065,Finanzas,Medellín,Universitario,Empresa propia,Soltero,22,5,16,1467,7.49,62.1,64,8.3,4.8,4.5,4.9,6.3,5.4,5.7,6.9,33,6.1,8.7,5.5,0,5,6.3,3.7,30,35.9,70,60,25.7,18.7,19.0,13.8,9.3,9.0,2.4,2.1
SUJ-0066,Retail/Comercio,Caracas,Posgrado,E-commerce,Casado,32,10,17,10841,3.87,11.5,85,10.0,8.2,7.9,7.2,8.6,6.7,8.1,5.8,26,6.3,7.5,5.4,2,3,5.4,6.4,10,22.6,47,60,28.6,22.8,11.3,13.7,9.8,10.7,2.3,0.8
SUJ-0067,Tecnología,Bogotá,Técnico,Empresa propia,Casado,20,7,12,500,1.14,31.0,87,6.5,6.2,7.6,8.2,8.4,7.3,7.37,7.7,3,9.6,7.1,5.9,1,3,5.4,3.0,7,20.6,43,63,23.6,20.7,18.7,14.0,12.3,6.8,3.9,-0.0
SUJ-0068,Inmuebles,Buenos Aires,Posgrado,Empresa propia,Soltero,28,1,11,4517,1.0,14.5,66,6.2,5.1,8.0,4.6,10.0,7.6,6.92,5.5,14,2.3,8.3,9.9,1,1,6.4,2.0,1,16.0,58,50,33.5,10.3,18.5,12.9,9.6,10.3,2.8,2.1
SUJ-0069,Tecnología,Medellín,Técnico,Empresa propia,Unión libre,30,11,15,7960,3.99,38.7,73,4.9,6.3,6.3,3.6,8.2,7.2,6.08,8.5,25,7.0,9.3,7.4,2,1,3.8,0.0,48,27.8,53,65,29.6,18.8,15.9,10.1,11.2,8.1,6.1,0.2
SUJ-0070,Salud/Farma,Monterrey,Doctorado,Empresa propia,Soltero,24,4,3,582,3.39,28.8,65,7.5,4.7,6.9,7.5,8.2,6.6,6.9,7.7,16,8.1,6.5,8.2,1,4,6.5,1.8,2,23.0,57,54,29.5,25.3,15.8,12.5,5.4,6.9,2.9,1.7
SUJ-0071,Inmuebles,Lima,Maestría,Startup escalada,Soltero,26,6,8,4685,2.56,32.9,55,7.6,4.5,5.5,5.1,8.0,8.0,6.45,8.1,15,7.6,9.8,9.0,2,2,6.5,0.5,9,25.8,61,67,29.3,20.9,7.6,6.8,9.3,14.0,8.2,3.9
SUJ-0072,Tecnología,Cali,Maestría,Empresa propia,Soltero,30,8,19,2889,30.72,62.7,86,9.0,7.4,10.0,7.2,9.5,8.8,8.65,9.0,32,4.3,8.1,6.3,2,4,3.7,2.5,48,45.2,35,53,7.1,11.8,20.8,27.7,16.7,8.8,4.7,2.4
SUJ-0073,Tecnología,São Paulo,Maestría,Empresa propia,Casado,30,5,12,5517,1.58,48.0,94,9.3,8.7,9.8,3.7,10.0,10.0,8.58,8.3,19,6.5,7.2,7.8,2,5,4.3,3.8,6,27.0,21,57,23.4,17.2,14.0,17.4,9.9,15.4,2.4,0.3
SUJ-0074,Inmuebles,Santiago,Posgrado,E-commerce,Soltero,28,10,17,5618,4.08,28.1,71,6.7,5.2,7.0,6.0,8.9,8.3,7.02,9.3,24,6.3,6.3,6.1,1,1,5.4,4.0,4,19.2,52,61,26.3,18.8,17.4,14.0,10.7,6.2,5.2,1.4
SUJ-0075,Inmuebles,Caracas,Universitario,E-commerce,Soltero,25,3,12,12305,10.25,33.3,65,7.3,4.7,6.2,2.7,8.2,7.1,6.03,6.5,5,5.6,7.1,5.2,2,1,5.2,3.8,51,35.3,60,63,16.7,13.9,11.6,23.7,14.5,10.1,8.2,1.3
SUJ-0076,Inmuebles,Santiago,Maestría,Empresa propia,Casado,29,5,12,1054,8.8,47.5,87,8.7,8.8,8.3,6.3,9.6,7.1,8.13,7.5,17,8.3,9.9,9.1,0,1,5.5,5.0,18,40.1,35,74,27.5,19.2,17.3,6.8,14.4,11.3,1.9,1.6
SUJ-0077,Inmuebles,Medellín,Doctorado,Empresa propia,Soltero,17,11,16,690,2.2,5.2,88,10.0,6.5,10.0,7.6,10.0,8.7,8.8,6.0,25,10.0,6.3,7.4,1,1,5.7,2.4,8,20.1,40,52,28.3,25.5,11.8,11.3,11.6,4.0,5.5,2.0
SUJ-0078,Tecnología,Lima,Universitario,Empresa familiar,Casado,34,7,11,4111,6.85,48.8,61,9.1,4.5,7.2,5.4,4.9,5.7,6.13,5.4,20,5.0,8.6,8.5,1,1,5.1,4.1,22,35.3,58,58,34.9,21.4,18.9,13.7,1.7,6.4,2.2,0.8
SUJ-0079,Finanzas,Buenos Aires,Doctorado,Holding,Casado,25,3,5,17479,1.0,66.6,74,9.4,3.8,7.8,6.7,8.2,7.9,7.3,6.5,29,6.4,6.3,9.1,2,2,3.2,5.8,14,28.2,45,59,25.8,16.3,20.4,10.0,6.9,10.8,6.5,3.3
SUJ-0080,Tecnología,São Paulo,Posgrado,Empresa propia,Unión libre,21,7,9,15463,6.65,53.3,99,10.0,9.6,10.0,6.7,10.0,10.0,9.38,7.3,29,3.3,8.5,5.8,1,2,3.1,3.1,1,29.7,34,54,33.1,14.0,19.8,16.5,8.7,4.0,2.5,1.4
SUJ-0081,Servicios,Caracas,Posgrado,Franquicia,Casado,29,8,15,6567,2.02,18.0,97,10.0,9.8,9.9,6.1,10.0,8.1,8.98,8.3,46,5.8,8.2,6.7,1,1,4.9,0.0,4,17.6,25,67,41.9,15.7,13.9,10.0,7.6,7.4,3.5,0.0
SUJ-0082,Manufactura,Bucaramanga,Universitario,Empresa propia,Soltero,29,1,6,17569,4.6,13.4,60,7.0,5.4,7.2,4.5,8.3,6.3,6.45,7.3,21,4.8,10.0,10.0,4,1,4.4,0.7,73,33.6,45,62,28.0,18.0,11.8,13.8,12.3,6.3,7.6,2.2
SUJ-0083,Finanzas,Barranquilla,Universitario,Empresa propia,Soltero,20,13,21,13092,277.57,60.7,54,6.6,5.2,6.8,4.5,6.5,7.1,6.12,8.4,15,9.2,6.8,8.3,1,2,6.4,3.6,6,57.3,53,61,15.8,20.4,11.9,19.1,15.2,10.7,3.9,3.0
SUJ-0084,Tecnología,Buenos Aires,Bachillerato,Holding,Unión libre,26,13,19,2605,9.41,45.7,77,8.5,6.6,6.2,5.3,7.6,9.7,7.32,10.0,31,9.2,7.6,5.8,1,2,6.0,0.0,7,25.7,31,73,20.0,30.9,13.8,11.3,11.6,5.9,4.0,2.5
SUJ-0085,Finanzas,Bucaramanga,Universitario,Startup escalada,Casado,26,7,9,1491,2.74,41.3,82,8.7,5.5,6.1,6.2,6.4,6.3,6.53,5.9,28,4.5,6.3,6.3,0,1,4.3,3.8,27,26.1,53,68,30.3,10.1,20.8,7.7,19.2,6.0,2.0,3.9
