var_a,var_b,r,r2,p,sig,ci95_lo,ci95_hi,fuerza,dir
patrimonio_m_usd,score_exito,0.4872,0.2373,0.0,True,0.4657,0.508,Moderada,+
sacrificio_salud,bienestar_psicologico,-0.4835,0.2338,0.0,True,-0.5045,-0.462,Moderada,−
sacrificio_amigos,bienestar_psicologico,-0.4815,0.2318,0.0,True,-0.5025,-0.4599,Moderada,−
sacrificio_ocio_hobbies,sacrificio_sueno,0.4635,0.2149,0.0,True,0.4415,0.485,Moderada,+
sacrificio_familia,sacrificio_ocio_hobbies,0.4552,0.2072,0.0,True,0.4329,0.4769,Moderada,+
score_disciplina,satisfaccion_vida,0.4495,0.2021,0.0,True,0.4272,0.4714,Moderada,+
sacrificio_amor_pareja,sacrificio_ocio_hobbies,0.4179,0.1747,0.0,True,0.3948,0.4406,Moderada,+
sacrificio_familia,sacrificio_sueno,0.4144,0.1717,0.0,True,0.3912,0.4371,Moderada,+
sacrificio_salud,sacrificio_ocio_hobbies,0.4127,0.1703,0.0,True,0.3894,0.4354,Moderada,+
sacrificio_amigos,sacrificio_ocio_hobbies,0.3829,0.1466,0.0,True,0.359,0.4063,Débil,+
sacrificio_amor_pareja,sacrificio_sueno,0.3807,0.145,0.0,True,0.3568,0.4042,Débil,+
sacrificio_familia,sacrificio_amor_pareja,0.3798,0.1442,0.0,True,0.3558,0.4032,Débil,+
sacrificio_salud,sacrificio_sueno,0.3777,0.1427,0.0,True,0.3537,0.4013,Débil,+
sacrificio_familia,sacrificio_salud,0.3686,0.1359,0.0,True,0.3444,0.3923,Débil,+
sacrificio_amigos,sacrificio_sueno,0.3682,0.1356,0.0,True,0.344,0.3919,Débil,+
sacrificio_familia,sacrificio_amigos,0.3516,0.1236,0.0,True,0.327,0.3756,Débil,+
sacrificio_salud,sacrificio_amor_pareja,0.342,0.117,0.0,True,0.3173,0.3663,Débil,+
sacrificio_salud,sacrificio_amigos,0.337,0.1136,0.0,True,0.3122,0.3613,Débil,+
attr_disciplina_pct,attr_oportunidad_pct,-0.3349,0.1122,0.0,True,-0.3593,-0.3101,Débil,−
sacrificio_amor_pareja,sacrificio_amigos,0.3304,0.1092,0.0,True,0.3055,0.3549,Débil,+
attr_disciplina_pct,attr_conocimiento_pct,-0.3165,0.1001,0.0,True,-0.3412,-0.2913,Débil,−
attr_disciplina_pct,attr_red_pct,-0.2805,0.0787,0.0,True,-0.3058,-0.2547,Débil,−
anos_trayectoria_total,score_exito,0.277,0.0767,0.0,True,0.2512,0.3024,Débil,+
attr_disciplina_pct,attr_trabajo_duro_pct,-0.2571,0.0661,0.0,True,-0.2828,-0.2311,Débil,−
sacrificio_total,satisfaccion_vida,-0.2541,0.0646,0.0,True,-0.2799,-0.228,Débil,−
anos_trayectoria_total,patrimonio_m_usd,0.2461,0.0606,0.0,True,0.2199,0.272,Débil,+
empleos_generados,score_exito,0.2345,0.055,0.0,True,0.2081,0.2605,Débil,+
patrimonio_m_usd,roi_anualizado_pct,0.2312,0.0535,0.0,True,0.2048,0.2573,Débil,+
attr_oportunidad_pct,attr_red_pct,-0.2262,0.0512,0.0,True,-0.2523,-0.1997,Débil,−
attr_oportunidad_pct,attr_conocimiento_pct,-0.2223,0.0494,0.0,True,-0.2485,-0.1958,Débil,−
horas_sem_pico,satisfaccion_vida,-0.2132,0.0455,0.0,True,-0.2395,-0.1866,Débil,−
anos_primer_millon,score_exito,0.2039,0.0416,0.0,True,0.1772,0.2303,Débil,+
attr_disciplina_pct,attr_vision_pct,-0.1931,0.0373,0.0,True,-0.2197,-0.1663,Muy débil,−
sacrificio_ocio_hobbies,satisfaccion_vida,-0.1928,0.0372,0.0,True,-0.2193,-0.166,Muy débil,−
sacrificio_familia,satisfaccion_vida,-0.1856,0.0344,0.0,True,-0.2122,-0.1587,Muy débil,−
sacrificio_salud,satisfaccion_vida,-0.1789,0.032,0.0,True,-0.2056,-0.152,Muy débil,−
sacrificio_sueno,satisfaccion_vida,-0.1745,0.0305,0.0,True,-0.2013,-0.1475,Muy débil,−
bienestar_psicologico,satisfaccion_vida,0.1735,0.0301,0.0,True,0.1465,0.2002,Muy débil,+
sacrificio_amigos,satisfaccion_vida,-0.1719,0.0295,0.0,True,-0.1986,-0.1448,Muy débil,−
score_vision,score_exito,0.1696,0.0288,0.0,True,0.1426,0.1964,Muy débil,+
anos_primer_millon,patrimonio_m_usd,0.168,0.0282,0.0,True,0.1409,0.1948,Muy débil,+
sacrificio_amor_pareja,satisfaccion_vida,-0.1627,0.0265,0.0,True,-0.1896,-0.1356,Muy débil,−
attr_oportunidad_pct,attr_trabajo_duro_pct,-0.1588,0.0252,0.0,True,-0.1857,-0.1317,Muy débil,−
attr_disciplina_pct,attr_suerte_pct,-0.1463,0.0214,0.0,True,-0.1733,-0.1191,Muy débil,−
attr_conocimiento_pct,attr_red_pct,-0.1443,0.0208,0.0,True,-0.1714,-0.1171,Muy débil,−
attr_red_pct,attr_trabajo_duro_pct,-0.1217,0.0148,0.0,True,-0.1489,-0.0943,Muy débil,−
attr_red_pct,attr_vision_pct,-0.1159,0.0134,0.0,True,-0.1431,-0.0884,Muy débil,−
attr_oportunidad_pct,attr_vision_pct,-0.1123,0.0126,0.0,True,-0.1396,-0.0848,Muy débil,−
attr_conocimiento_pct,attr_trabajo_duro_pct,-0.098,0.0096,0.0,True,-0.1254,-0.0705,Muy débil,−
capital_inicial_usd,score_exito,0.0856,0.0073,0.0,True,0.058,0.113,Muy débil,+
sacrificio_familia,score_exito,0.0834,0.007,0.0,True,0.0558,0.1109,Muy débil,+
capital_inicial_usd,patrimonio_m_usd,0.0758,0.0057,0.0,True,0.0482,0.1033,Muy débil,+
attr_oportunidad_pct,attr_suerte_pct,-0.068,0.0046,1e-06,True,-0.0956,-0.0404,Muy débil,−
attr_conocimiento_pct,attr_vision_pct,-0.0666,0.0044,2e-06,True,-0.0942,-0.039,Muy débil,−
attr_oportunidad_pct,attr_capital_inicial_pct,-0.0656,0.0043,3e-06,True,-0.0931,-0.0379,Muy débil,−
attr_disciplina_pct,attr_capital_inicial_pct,-0.06,0.0036,2.2e-05,True,-0.0875,-0.0323,Muy débil,−
attr_conocimiento_pct,attr_suerte_pct,-0.0588,0.0035,3.2e-05,True,-0.0864,-0.0311,Muy débil,−
attr_trabajo_duro_pct,attr_vision_pct,-0.0572,0.0033,5.2e-05,True,-0.0848,-0.0295,Muy débil,−
patrimonio_m_usd,sacrificio_familia,0.0548,0.003,0.000106,True,0.0271,0.0824,Muy débil,+
anos_trayectoria_total,sacrificio_familia,0.0503,0.0025,0.000377,True,0.0226,0.0779,Muy débil,+
attr_conocimiento_pct,attr_capital_inicial_pct,-0.0425,0.0018,0.002632,True,-0.0702,-0.0148,Muy débil,−
sacrificio_familia,attr_trabajo_duro_pct,0.0407,0.0017,0.003956,True,0.013,0.0684,Muy débil,+
roi_anualizado_pct,sacrificio_familia,0.0405,0.0016,0.004214,True,0.0128,0.0681,Muy débil,+
attr_red_pct,attr_suerte_pct,-0.0399,0.0016,0.004812,True,-0.0675,-0.0122,Muy débil,−
capital_inicial_usd,roi_anualizado_pct,-0.039,0.0015,0.005787,True,-0.0667,-0.0113,Muy débil,−
sacrificio_total,score_exito,0.0386,0.0015,0.006305,True,0.0109,0.0663,Muy débil,+
score_exito,bienestar_psicologico,-0.0374,0.0014,0.008188,True,-0.065,-0.0097,Muy débil,−
attr_trabajo_duro_pct,attr_suerte_pct,-0.0373,0.0014,0.008308,True,-0.065,-0.0096,Muy débil,−
sacrificio_familia,attr_disciplina_pct,-0.0369,0.0014,0.008987,True,-0.0646,-0.0092,Muy débil,−
sacrificio_familia,attr_vision_pct,0.0345,0.0012,0.014746,True,0.0068,0.0621,Muy débil,+
attr_red_pct,attr_capital_inicial_pct,-0.034,0.0012,0.016289,True,-0.0616,-0.0063,Muy débil,−
patrimonio_m_usd,score_resiliencia,0.0323,0.001,0.022295,True,0.0046,0.06,Muy débil,+
sacrificio_amor_pareja,attr_red_pct,0.0319,0.001,0.02404,True,0.0042,0.0596,Muy débil,+
divorcios_num,satisfaccion_vida,-0.0318,0.001,0.024613,True,-0.0595,-0.0041,Muy débil,−
sacrificio_total,attr_disciplina_pct,-0.0303,0.0009,0.031883,True,-0.058,-0.0026,Muy débil,−
bienestar_psicologico,attr_conocimiento_pct,0.0301,0.0009,0.033081,True,0.0024,0.0578,Muy débil,+
sueno_horas_noche,ejercicio_dias_sem,0.0301,0.0009,0.033214,True,0.0024,0.0578,Muy débil,+
sacrificio_familia,attr_conocimiento_pct,-0.0294,0.0009,0.037441,True,-0.0571,-0.0017,Muy débil,−
sacrificio_sueno,attr_disciplina_pct,-0.0292,0.0009,0.038989,True,-0.0569,-0.0015,Muy débil,−
anos_primer_millon,sacrificio_sueno,-0.029,0.0008,0.040466,True,-0.0567,-0.0013,Muy débil,−
bienestar_psicologico,attr_red_pct,-0.029,0.0008,0.04016,True,-0.0567,-0.0013,Muy débil,−
sacrificio_salud,attr_suerte_pct,0.029,0.0008,0.040343,True,0.0013,0.0567,Muy débil,+
divorcios_num,sueno_horas_noche,-0.0289,0.0008,0.041349,True,-0.0565,-0.0011,Muy débil,−
sacrificio_amor_pareja,attr_disciplina_pct,-0.0275,0.0008,0.051834,False,-0.0552,0.0002,Muy débil,−
satisfaccion_vida,attr_capital_inicial_pct,0.0274,0.0008,0.052815,False,-0.0003,0.0551,Muy débil,+
score_red_contactos,satisfaccion_vida,-0.0269,0.0007,0.057126,False,-0.0546,0.0008,Muy débil,−
sacrificio_sueno,ejercicio_dias_sem,0.0266,0.0007,0.059785,False,-0.0011,0.0543,Muy débil,+
capital_inicial_usd,score_disciplina,-0.0263,0.0007,0.062648,False,-0.054,0.0014,Muy débil,−
sacrificio_ocio_hobbies,attr_trabajo_duro_pct,-0.0261,0.0007,0.064535,False,-0.0538,0.0016,Muy débil,−
sacrificio_salud,divorcios_num,0.0261,0.0007,0.064693,False,-0.0016,0.0538,Muy débil,+
score_red_contactos,attr_oportunidad_pct,-0.0261,0.0007,0.064494,False,-0.0538,0.0016,Muy débil,−
anos_trayectoria_total,sacrificio_total,0.026,0.0007,0.065499,False,-0.0017,0.0537,Muy débil,+
score_vision,attr_oportunidad_pct,-0.026,0.0007,0.065988,False,-0.0537,0.0017,Muy débil,−
sacrificio_sueno,attr_oportunidad_pct,0.0259,0.0007,0.067249,False,-0.0018,0.0536,Muy débil,+
anos_trayectoria_total,sacrificio_ocio_hobbies,0.0258,0.0007,0.068574,False,-0.002,0.0534,Muy débil,+
horas_sem_pico,attr_disciplina_pct,-0.0255,0.0007,0.070853,False,-0.0532,0.0022,Muy débil,−
sacrificio_total,attr_red_pct,0.0253,0.0006,0.073837,False,-0.0024,0.053,Muy débil,+
anos_primer_millon,sacrificio_familia,0.0253,0.0006,0.073616,False,-0.0024,0.053,Muy débil,+
anos_primer_millon,divorcios_num,-0.0249,0.0006,0.078701,False,-0.0526,0.0029,Muy débil,−
sacrificio_salud,score_conocimiento,-0.0243,0.0006,0.085226,False,-0.052,0.0034,Muy débil,−
capital_inicial_usd,score_conocimiento,0.0243,0.0006,0.085564,False,-0.0034,0.052,Muy débil,+
roi_anualizado_pct,score_resiliencia,0.0234,0.0005,0.097665,False,-0.0043,0.0511,Muy débil,+
capital_inicial_usd,hijos_num,-0.0233,0.0005,0.099841,False,-0.051,0.0044,Muy débil,−
sacrificio_amor_pareja,attr_vision_pct,0.0231,0.0005,0.101742,False,-0.0046,0.0508,Muy débil,+
sacrificio_total,attr_vision_pct,0.0229,0.0005,0.105244,False,-0.0048,0.0506,Muy débil,+
sacrificio_salud,attr_capital_inicial_pct,-0.0227,0.0005,0.108319,False,-0.0504,0.005,Muy débil,−
score_conocimiento,attr_suerte_pct,0.0227,0.0005,0.109086,False,-0.0051,0.0504,Muy débil,+
hijos_num,attr_red_pct,0.0223,0.0005,0.115599,False,-0.0055,0.0499,Muy débil,+
sacrificio_salud,score_exito,0.0223,0.0005,0.115167,False,-0.0054,0.05,Muy débil,+
capital_inicial_usd,score_resiliencia,0.0222,0.0005,0.11701,False,-0.0056,0.0499,Muy débil,+
score_red_contactos,attr_conocimiento_pct,0.022,0.0005,0.120065,False,-0.0057,0.0497,Muy débil,+
sacrificio_ocio_hobbies,attr_red_pct,0.0219,0.0005,0.121126,False,-0.0058,0.0496,Muy débil,+
score_disciplina,score_exito,0.0219,0.0005,0.122286,False,-0.0059,0.0495,Muy débil,+
anos_trayectoria_total,empleos_generados,-0.0216,0.0005,0.126354,False,-0.0493,0.0061,Muy débil,−
horas_sem_pico,attr_red_pct,0.0215,0.0005,0.128484,False,-0.0062,0.0492,Muy débil,+
sacrificio_amigos,score_exito,0.0214,0.0005,0.12975,False,-0.0063,0.0491,Muy débil,+
sacrificio_total,attr_suerte_pct,0.0213,0.0005,0.132751,False,-0.0065,0.049,Muy débil,+
edad_inicio,attr_conocimiento_pct,0.0212,0.0004,0.133708,False,-0.0065,0.0489,Muy débil,+
anos_trayectoria_total,attr_suerte_pct,0.0211,0.0004,0.135263,False,-0.0066,0.0488,Muy débil,+
divorcios_num,score_exito,-0.0209,0.0004,0.139765,False,-0.0486,0.0068,Muy débil,−
roi_anualizado_pct,bienestar_psicologico,-0.0208,0.0004,0.141928,False,-0.0485,0.007,Muy débil,−
anos_primer_millon,attr_red_pct,0.0208,0.0004,0.140803,False,-0.0069,0.0485,Muy débil,+
horas_sem_pico,attr_suerte_pct,0.0207,0.0004,0.143062,False,-0.007,0.0484,Muy débil,+
anos_trayectoria_total,divorcios_num,-0.0206,0.0004,0.144853,False,-0.0483,0.0071,Muy débil,−
edad_inicio,sacrificio_amigos,-0.0205,0.0004,0.147325,False,-0.0482,0.0072,Muy débil,−
score_vision,attr_trabajo_duro_pct,0.0204,0.0004,0.148954,False,-0.0073,0.0481,Muy débil,+
sacrificio_total,divorcios_num,0.0203,0.0004,0.151348,False,-0.0074,0.048,Muy débil,+
score_conocimiento,sueno_horas_noche,-0.0202,0.0004,0.152946,False,-0.0479,0.0075,Muy débil,−
ejercicio_dias_sem,attr_suerte_pct,-0.0199,0.0004,0.159455,False,-0.0476,0.0078,Muy débil,−
score_disciplina,divorcios_num,-0.0199,0.0004,0.159743,False,-0.0476,0.0078,Muy débil,−
empleos_generados,attr_vision_pct,0.0198,0.0004,0.161782,False,-0.0079,0.0475,Muy débil,+
score_resiliencia,divorcios_num,0.0197,0.0004,0.164481,False,-0.0081,0.0474,Muy débil,+
score_resiliencia,score_exito,0.0195,0.0004,0.167621,False,-0.0082,0.0472,Muy débil,+
capital_inicial_usd,attr_red_pct,0.0194,0.0004,0.171185,False,-0.0084,0.047,Muy débil,+
anos_primer_millon,score_conocimiento,0.0193,0.0004,0.172021,False,-0.0084,0.047,Muy débil,+
edad_inicio,score_disciplina,-0.0192,0.0004,0.175143,False,-0.0469,0.0085,Muy débil,−
ejercicio_dias_sem,attr_conocimiento_pct,0.0192,0.0004,0.175559,False,-0.0086,0.0469,Muy débil,+
sacrificio_ocio_hobbies,score_disciplina,-0.0192,0.0004,0.175657,False,-0.0468,0.0086,Muy débil,−
bienestar_psicologico,attr_vision_pct,-0.0191,0.0004,0.176113,False,-0.0468,0.0086,Muy débil,−
satisfaccion_vida,attr_suerte_pct,-0.019,0.0004,0.178851,False,-0.0467,0.0087,Muy débil,−
hijos_num,attr_trabajo_duro_pct,-0.019,0.0004,0.179869,False,-0.0467,0.0088,Muy débil,−
horas_sem_pico,attr_vision_pct,0.0189,0.0004,0.180619,False,-0.0088,0.0466,Muy débil,+
sueno_horas_noche,empleos_generados,0.0189,0.0004,0.180394,False,-0.0088,0.0466,Muy débil,+
sacrificio_ocio_hobbies,attr_suerte_pct,0.0188,0.0004,0.182889,False,-0.0089,0.0465,Muy débil,+
anos_primer_millon,attr_conocimiento_pct,-0.0187,0.0004,0.18535,False,-0.0464,0.009,Muy débil,−
sueno_horas_noche,attr_conocimiento_pct,0.0187,0.0003,0.186132,False,-0.009,0.0464,Muy débil,+
capital_inicial_usd,sueno_horas_noche,0.0186,0.0003,0.188315,False,-0.0091,0.0463,Muy débil,+
divorcios_num,attr_vision_pct,0.0185,0.0003,0.190485,False,-0.0092,0.0462,Muy débil,+
attr_vision_pct,attr_suerte_pct,-0.0185,0.0003,0.18989,False,-0.0462,0.0092,Muy débil,−
anos_trayectoria_total,sacrificio_salud,0.0184,0.0003,0.193479,False,-0.0093,0.0461,Muy débil,+
sueno_horas_noche,attr_trabajo_duro_pct,-0.0183,0.0003,0.195817,False,-0.046,0.0094,Muy débil,−
sacrificio_familia,attr_red_pct,0.0183,0.0003,0.196959,False,-0.0095,0.0459,Muy débil,+
score_resiliencia,attr_vision_pct,-0.018,0.0003,0.204408,False,-0.0456,0.0098,Muy débil,−
sacrificio_familia,score_conocimiento,-0.0179,0.0003,0.206555,False,-0.0456,0.0099,Muy débil,−
sacrificio_amor_pareja,sueno_horas_noche,0.0178,0.0003,0.207135,False,-0.0099,0.0455,Muy débil,+
anos_trayectoria_total,score_resiliencia,-0.0176,0.0003,0.213488,False,-0.0453,0.0101,Muy débil,−
score_disciplina,attr_trabajo_duro_pct,0.0176,0.0003,0.213178,False,-0.0101,0.0453,Muy débil,+
sacrificio_familia,attr_suerte_pct,0.0175,0.0003,0.216625,False,-0.0102,0.0452,Muy débil,+
patrimonio_m_usd,sacrificio_sueno,-0.0175,0.0003,0.216479,False,-0.0452,0.0102,Muy débil,−
sacrificio_ocio_hobbies,score_exito,0.0174,0.0003,0.21839,False,-0.0103,0.0451,Muy débil,+
edad_inicio,capital_inicial_usd,0.0174,0.0003,0.219189,False,-0.0103,0.0451,Muy débil,+
sacrificio_amor_pareja,divorcios_num,0.0174,0.0003,0.217728,False,-0.0103,0.0451,Muy débil,+
sacrificio_amigos,score_disciplina,-0.0173,0.0003,0.221744,False,-0.045,0.0104,Muy débil,−
horas_sem_pico,divorcios_num,0.0172,0.0003,0.223697,False,-0.0105,0.0449,Muy débil,+
edad_inicio,attr_oportunidad_pct,-0.017,0.0003,0.228229,False,-0.0447,0.0107,Muy débil,−
score_red_contactos,attr_red_pct,0.017,0.0003,0.22967,False,-0.0107,0.0447,Muy débil,+
bienestar_psicologico,attr_disciplina_pct,0.017,0.0003,0.228346,False,-0.0107,0.0447,Muy débil,+
sacrificio_sueno,attr_suerte_pct,0.017,0.0003,0.229278,False,-0.0107,0.0447,Muy débil,+
divorcios_num,bienestar_psicologico,-0.0168,0.0003,0.235473,False,-0.0445,0.0109,Muy débil,−
edad_inicio,empleos_generados,-0.0168,0.0003,0.235558,False,-0.0445,0.0109,Muy débil,−
anos_primer_millon,hijos_num,0.0167,0.0003,0.237732,False,-0.011,0.0444,Muy débil,+
sacrificio_sueno,empleos_generados,0.0166,0.0003,0.241753,False,-0.0112,0.0443,Muy débil,+
score_red_contactos,attr_disciplina_pct,-0.0166,0.0003,0.24018,False,-0.0443,0.0111,Muy débil,−
sacrificio_amigos,divorcios_num,0.0166,0.0003,0.241431,False,-0.0112,0.0443,Muy débil,+
score_exito,attr_oportunidad_pct,-0.0165,0.0003,0.243615,False,-0.0442,0.0112,Muy débil,−
anos_trayectoria_total,sacrificio_amigos,0.0165,0.0003,0.242398,False,-0.0112,0.0442,Muy débil,+
edad_inicio,sacrificio_ocio_hobbies,-0.0165,0.0003,0.242874,False,-0.0442,0.0112,Muy débil,−
horas_sem_pico,attr_conocimiento_pct,-0.0165,0.0003,0.241992,False,-0.0442,0.0112,Muy débil,−
anos_primer_millon,sacrificio_salud,0.0164,0.0003,0.247664,False,-0.0114,0.0441,Muy débil,+
score_vision,sueno_horas_noche,-0.0164,0.0003,0.247584,False,-0.0441,0.0114,Muy débil,−
score_conocimiento,score_resiliencia,-0.0162,0.0003,0.251278,False,-0.0439,0.0115,Muy débil,−
anos_trayectoria_total,bienestar_psicologico,-0.0162,0.0003,0.252231,False,-0.0439,0.0115,Muy débil,−
edad_inicio,sacrificio_salud,-0.0162,0.0003,0.251025,False,-0.0439,0.0115,Muy débil,−
patrimonio_m_usd,bienestar_psicologico,-0.0162,0.0003,0.252581,False,-0.0439,0.0115,Muy débil,−
sacrificio_salud,empleos_generados,0.0161,0.0003,0.256247,False,-0.0117,0.0438,Muy débil,+
satisfaccion_vida,attr_disciplina_pct,0.016,0.0003,0.259272,False,-0.0118,0.0437,Muy débil,+
score_disciplina,attr_capital_inicial_pct,0.0159,0.0003,0.261992,False,-0.0119,0.0436,Muy débil,+
horas_sem_pico,score_exito,0.0158,0.0003,0.263354,False,-0.0119,0.0435,Muy débil,+
score_disciplina,empleos_generados,-0.0157,0.0002,0.265535,False,-0.0434,0.012,Muy débil,−
patrimonio_m_usd,sacrificio_salud,-0.0156,0.0002,0.270095,False,-0.0433,0.0121,Muy débil,−
roi_anualizado_pct,sacrificio_sueno,0.0155,0.0002,0.271779,False,-0.0122,0.0432,Muy débil,+
score_conocimiento,attr_vision_pct,-0.0154,0.0002,0.276507,False,-0.0431,0.0123,Muy débil,−
sacrificio_amor_pareja,empleos_generados,-0.0154,0.0002,0.275306,False,-0.0431,0.0123,Muy débil,−
sacrificio_total,attr_conocimiento_pct,-0.0153,0.0002,0.280831,False,-0.043,0.0125,Muy débil,−
sacrificio_salud,attr_disciplina_pct,-0.0153,0.0002,0.279024,False,-0.043,0.0124,Muy débil,−
score_exito,attr_trabajo_duro_pct,0.0153,0.0002,0.278094,False,-0.0124,0.043,Muy débil,+
roi_anualizado_pct,attr_conocimiento_pct,0.0152,0.0002,0.284,False,-0.0126,0.0429,Muy débil,+
score_resiliencia,attr_suerte_pct,-0.0152,0.0002,0.282555,False,-0.0429,0.0125,Muy débil,−
anos_primer_millon,score_resiliencia,-0.015,0.0002,0.29009,False,-0.0427,0.0128,Muy débil,−
satisfaccion_vida,attr_red_pct,-0.0149,0.0002,0.293345,False,-0.0426,0.0129,Muy débil,−
sacrificio_familia,attr_capital_inicial_pct,0.0148,0.0002,0.29638,False,-0.013,0.0425,Muy débil,+
anos_trayectoria_total,sacrificio_sueno,-0.0148,0.0002,0.296873,False,-0.0425,0.013,Muy débil,−
sacrificio_familia,score_red_contactos,0.0148,0.0002,0.294596,False,-0.0129,0.0425,Muy débil,+
hijos_num,empleos_generados,-0.0147,0.0002,0.297177,False,-0.0424,0.013,Muy débil,−
edad_inicio,score_resiliencia,0.0146,0.0002,0.301473,False,-0.0131,0.0423,Muy débil,+
sacrificio_sueno,attr_red_pct,0.0146,0.0002,0.300894,False,-0.0131,0.0423,Muy débil,+
sacrificio_total,ejercicio_dias_sem,0.0145,0.0002,0.306855,False,-0.0133,0.0422,Muy débil,+
horas_sem_pico,ejercicio_dias_sem,0.0144,0.0002,0.307377,False,-0.0133,0.0421,Muy débil,+
satisfaccion_vida,attr_oportunidad_pct,-0.0143,0.0002,0.310953,False,-0.042,0.0134,Muy débil,−
horas_sem_pico,score_vision,-0.0142,0.0002,0.314978,False,-0.0419,0.0135,Muy débil,−
anos_trayectoria_total,sacrificio_amor_pareja,0.0142,0.0002,0.315697,False,-0.0135,0.0419,Muy débil,+
anos_primer_millon,roi_anualizado_pct,0.0141,0.0002,0.317595,False,-0.0136,0.0418,Muy débil,+
sacrificio_familia,ejercicio_dias_sem,0.014,0.0002,0.32064,False,-0.0137,0.0418,Muy débil,+
score_resiliencia,attr_disciplina_pct,0.014,0.0002,0.322375,False,-0.0137,0.0417,Muy débil,+
patrimonio_m_usd,hijos_num,0.014,0.0002,0.321039,False,-0.0137,0.0417,Muy débil,+
edad_inicio,score_exito,-0.0139,0.0002,0.326563,False,-0.0416,0.0138,Muy débil,−
edad_inicio,ejercicio_dias_sem,-0.0139,0.0002,0.326021,False,-0.0416,0.0138,Muy débil,−
roi_anualizado_pct,score_disciplina,0.0139,0.0002,0.325507,False,-0.0138,0.0416,Muy débil,+
hijos_num,ejercicio_dias_sem,-0.0138,0.0002,0.330236,False,-0.0415,0.014,Muy débil,−
anos_primer_millon,attr_vision_pct,-0.0138,0.0002,0.328217,False,-0.0415,0.0139,Muy débil,−
score_resiliencia,attr_trabajo_duro_pct,0.0137,0.0002,0.331403,False,-0.014,0.0414,Muy débil,+
sacrificio_sueno,score_exito,0.0136,0.0002,0.335134,False,-0.0141,0.0413,Muy débil,+
anos_primer_millon,attr_trabajo_duro_pct,0.0135,0.0002,0.339138,False,-0.0142,0.0412,Muy débil,+
score_disciplina,attr_disciplina_pct,-0.0135,0.0002,0.33887,False,-0.0412,0.0142,Muy débil,−
capital_inicial_usd,empleos_generados,0.0133,0.0002,0.345676,False,-0.0144,0.041,Muy débil,+
score_red_contactos,ejercicio_dias_sem,0.0133,0.0002,0.348096,False,-0.0145,0.041,Muy débil,+
score_vision,attr_disciplina_pct,0.0132,0.0002,0.350212,False,-0.0145,0.0409,Muy débil,+
sueno_horas_noche,attr_oportunidad_pct,0.0132,0.0002,0.351678,False,-0.0146,0.0409,Muy débil,+
sacrificio_sueno,attr_vision_pct,0.0131,0.0002,0.355865,False,-0.0147,0.0408,Muy débil,+
roi_anualizado_pct,attr_trabajo_duro_pct,0.0131,0.0002,0.354576,False,-0.0146,0.0408,Muy débil,+
sacrificio_familia,score_resiliencia,-0.0131,0.0002,0.355932,False,-0.0408,0.0147,Muy débil,−
sacrificio_amigos,empleos_generados,0.0129,0.0002,0.361491,False,-0.0148,0.0406,Muy débil,+
