var_a,var_b,pearson_r,pearson_r2,pearson_p,significativo_95,ci95_lo,ci95_hi,spearman_r,spearman_p,fuerza,direccion,abs_r
sacrificio_salud,bienestar_psicologico,-0.4835,0.2338,0.0,True,-0.5045,-0.462,-0.4691,0.0,Moderada,Negativa,0.4835
sacrificio_amigos,bienestar_psicologico,-0.4815,0.2318,0.0,True,-0.5025,-0.4599,-0.4755,0.0,Moderada,Negativa,0.4815
sacrificio_ocio_hobbies,sacrificio_sueno,0.4635,0.2149,0.0,True,0.4415,0.485,0.4624,0.0,Moderada,Positiva,0.4635
sacrificio_familia,sacrificio_ocio_hobbies,0.4552,0.2072,0.0,True,0.4329,0.4769,0.4418,0.0,Moderada,Positiva,0.4552
score_disciplina,satisfaccion_vida,0.4495,0.2021,0.0,True,0.4272,0.4714,0.4361,0.0,Moderada,Positiva,0.4495
sacrificio_amor_pareja,sacrificio_ocio_hobbies,0.4179,0.1747,0.0,True,0.3948,0.4406,0.4127,0.0,Moderada,Positiva,0.4179
sacrificio_familia,sacrificio_sueno,0.4144,0.1717,0.0,True,0.3912,0.4371,0.4078,0.0,Moderada,Positiva,0.4144
sacrificio_salud,sacrificio_ocio_hobbies,0.4127,0.1703,0.0,True,0.3894,0.4354,0.4067,0.0,Moderada,Positiva,0.4127
sacrificio_amigos,sacrificio_ocio_hobbies,0.3829,0.1466,0.0,True,0.359,0.4063,0.3765,0.0,Débil,Positiva,0.3829
sacrificio_amor_pareja,sacrificio_sueno,0.3807,0.145,0.0,True,0.3568,0.4042,0.3682,0.0,Débil,Positiva,0.3807
sacrificio_familia,sacrificio_amor_pareja,0.3798,0.1442,0.0,True,0.3558,0.4032,0.3733,0.0,Débil,Positiva,0.3798
sacrificio_salud,sacrificio_sueno,0.3777,0.1427,0.0,True,0.3537,0.4013,0.3691,0.0,Débil,Positiva,0.3777
sacrificio_familia,sacrificio_salud,0.3686,0.1359,0.0,True,0.3444,0.3923,0.3586,0.0,Débil,Positiva,0.3686
sacrificio_amigos,sacrificio_sueno,0.3682,0.1356,0.0,True,0.344,0.3919,0.3591,0.0,Débil,Positiva,0.3682
sacrificio_familia,sacrificio_amigos,0.3516,0.1236,0.0,True,0.327,0.3756,0.3413,0.0,Débil,Positiva,0.3516
sacrificio_salud,sacrificio_amor_pareja,0.342,0.117,0.0,True,0.3173,0.3663,0.3287,0.0,Débil,Positiva,0.342
sacrificio_salud,sacrificio_amigos,0.337,0.1136,0.0,True,0.3122,0.3613,0.3253,0.0,Débil,Positiva,0.337
attr_disciplina_pct,attr_oportunidad_pct,-0.3349,0.1122,0.0,True,-0.3593,-0.3101,-0.3176,0.0,Débil,Negativa,0.3349
sacrificio_amor_pareja,sacrificio_amigos,0.3304,0.1092,0.0,True,0.3055,0.3549,0.3253,0.0,Débil,Positiva,0.3304
attr_disciplina_pct,attr_conocimiento_pct,-0.3165,0.1001,0.0,True,-0.3412,-0.2913,-0.2937,0.0,Débil,Negativa,0.3165
attr_disciplina_pct,attr_red_pct,-0.2805,0.0787,0.0,True,-0.3058,-0.2547,-0.2654,0.0,Débil,Negativa,0.2805
anos_trayectoria_total,score_exito,0.277,0.0767,0.0,True,0.2512,0.3024,0.2059,0.0,Débil,Positiva,0.277
attr_disciplina_pct,attr_trabajo_duro_pct,-0.2571,0.0661,0.0,True,-0.2828,-0.2311,-0.246,0.0,Débil,Negativa,0.2571
sacrificio_total,satisfaccion_vida,-0.2541,0.0646,0.0,True,-0.2799,-0.228,-0.2473,0.0,Débil,Negativa,0.2541
anos_trayectoria_total,patrimonio_m_usd,0.2461,0.0606,0.0,True,0.2199,0.272,0.3374,0.0,Débil,Positiva,0.2461
empleos_generados,score_exito,0.2345,0.055,0.0,True,0.2081,0.2605,0.3829,0.0,Débil,Positiva,0.2345
patrimonio_m_usd,roi_anualizado_pct,0.2312,0.0535,0.0,True,0.2048,0.2573,0.3477,0.0,Débil,Positiva,0.2312
attr_oportunidad_pct,attr_red_pct,-0.2262,0.0512,0.0,True,-0.2523,-0.1997,-0.2183,0.0,Débil,Negativa,0.2262
attr_oportunidad_pct,attr_conocimiento_pct,-0.2223,0.0494,0.0,True,-0.2485,-0.1958,-0.2136,0.0,Débil,Negativa,0.2223
horas_sem_pico,satisfaccion_vida,-0.2132,0.0455,0.0,True,-0.2395,-0.1866,-0.2127,0.0,Débil,Negativa,0.2132
anos_primer_millon,score_exito,0.2039,0.0416,0.0,True,0.1772,0.2303,0.158,0.0,Débil,Positiva,0.2039
attr_disciplina_pct,attr_vision_pct,-0.1931,0.0373,0.0,True,-0.2197,-0.1663,-0.1928,0.0,Muy débil / ruido,Negativa,0.1931
sacrificio_ocio_hobbies,satisfaccion_vida,-0.1928,0.0372,0.0,True,-0.2193,-0.166,-0.1887,0.0,Muy débil / ruido,Negativa,0.1928
sacrificio_familia,satisfaccion_vida,-0.1856,0.0344,0.0,True,-0.2122,-0.1587,-0.1796,0.0,Muy débil / ruido,Negativa,0.1856
sacrificio_salud,satisfaccion_vida,-0.1789,0.032,0.0,True,-0.2056,-0.152,-0.1704,0.0,Muy débil / ruido,Negativa,0.1789
sacrificio_sueno,satisfaccion_vida,-0.1745,0.0305,0.0,True,-0.2013,-0.1475,-0.1728,0.0,Muy débil / ruido,Negativa,0.1745
bienestar_psicologico,satisfaccion_vida,0.1735,0.0301,0.0,True,0.1465,0.2002,0.1702,0.0,Muy débil / ruido,Positiva,0.1735
sacrificio_amigos,satisfaccion_vida,-0.1719,0.0295,0.0,True,-0.1986,-0.1448,-0.1666,0.0,Muy débil / ruido,Negativa,0.1719
score_vision,score_exito,0.1696,0.0288,0.0,True,0.1426,0.1964,0.1897,0.0,Muy débil / ruido,Positiva,0.1696
anos_primer_millon,patrimonio_m_usd,0.168,0.0282,0.0,True,0.1409,0.1948,0.2464,0.0,Muy débil / ruido,Positiva,0.168
sacrificio_amor_pareja,satisfaccion_vida,-0.1627,0.0265,0.0,True,-0.1896,-0.1356,-0.1605,0.0,Muy débil / ruido,Negativa,0.1627
attr_oportunidad_pct,attr_trabajo_duro_pct,-0.1588,0.0252,0.0,True,-0.1857,-0.1317,-0.1395,0.0,Muy débil / ruido,Negativa,0.1588
attr_disciplina_pct,attr_suerte_pct,-0.1463,0.0214,0.0,True,-0.1733,-0.1191,-0.1499,0.0,Muy débil / ruido,Negativa,0.1463
attr_conocimiento_pct,attr_red_pct,-0.1443,0.0208,0.0,True,-0.1714,-0.1171,-0.1401,0.0,Muy débil / ruido,Negativa,0.1443
attr_red_pct,attr_trabajo_duro_pct,-0.1217,0.0148,0.0,True,-0.1489,-0.0943,-0.1142,0.0,Muy débil / ruido,Negativa,0.1217
attr_red_pct,attr_vision_pct,-0.1159,0.0134,0.0,True,-0.1431,-0.0884,-0.1068,0.0,Muy débil / ruido,Negativa,0.1159
attr_oportunidad_pct,attr_vision_pct,-0.1123,0.0126,0.0,True,-0.1396,-0.0848,-0.1059,0.0,Muy débil / ruido,Negativa,0.1123
attr_conocimiento_pct,attr_trabajo_duro_pct,-0.098,0.0096,0.0,True,-0.1254,-0.0705,-0.1058,0.0,Muy débil / ruido,Negativa,0.098
capital_inicial_usd,score_exito,0.0856,0.0073,0.0,True,0.058,0.113,0.074,0.0,Muy débil / ruido,Positiva,0.0856
sacrificio_familia,score_exito,0.0834,0.007,0.0,True,0.0558,0.1109,0.0697,1e-06,Muy débil / ruido,Positiva,0.0834
capital_inicial_usd,patrimonio_m_usd,0.0758,0.0057,0.0,True,0.0482,0.1033,0.1515,0.0,Muy débil / ruido,Positiva,0.0758
attr_oportunidad_pct,attr_suerte_pct,-0.068,0.0046,1e-06,True,-0.0956,-0.0404,-0.0605,1.9e-05,Muy débil / ruido,Negativa,0.068
attr_conocimiento_pct,attr_vision_pct,-0.0666,0.0044,2e-06,True,-0.0942,-0.039,-0.0666,2e-06,Muy débil / ruido,Negativa,0.0666
attr_oportunidad_pct,attr_capital_inicial_pct,-0.0656,0.0043,3e-06,True,-0.0931,-0.0379,-0.0608,1.7e-05,Muy débil / ruido,Negativa,0.0656
attr_disciplina_pct,attr_capital_inicial_pct,-0.06,0.0036,2.2e-05,True,-0.0875,-0.0323,-0.0565,6.4e-05,Muy débil / ruido,Negativa,0.06
attr_conocimiento_pct,attr_suerte_pct,-0.0588,0.0035,3.2e-05,True,-0.0864,-0.0311,-0.0568,5.8e-05,Muy débil / ruido,Negativa,0.0588
attr_trabajo_duro_pct,attr_vision_pct,-0.0572,0.0033,5.2e-05,True,-0.0848,-0.0295,-0.0534,0.000157,Muy débil / ruido,Negativa,0.0572
patrimonio_m_usd,sacrificio_familia,0.0548,0.003,0.000106,True,0.0271,0.0824,0.1052,0.0,Muy débil / ruido,Positiva,0.0548
anos_trayectoria_total,sacrificio_familia,0.0503,0.0025,0.000377,True,0.0226,0.0779,0.0462,0.001081,Muy débil / ruido,Positiva,0.0503
attr_conocimiento_pct,attr_capital_inicial_pct,-0.0425,0.0018,0.002632,True,-0.0702,-0.0148,-0.0476,0.000768,Muy débil / ruido,Negativa,0.0425
sacrificio_familia,attr_trabajo_duro_pct,0.0407,0.0017,0.003956,True,0.013,0.0684,0.0338,0.01694,Muy débil / ruido,Positiva,0.0407
roi_anualizado_pct,sacrificio_familia,0.0405,0.0016,0.004214,True,0.0128,0.0681,0.0334,0.018302,Muy débil / ruido,Positiva,0.0405
attr_red_pct,attr_suerte_pct,-0.0399,0.0016,0.004812,True,-0.0675,-0.0122,-0.0309,0.028831,Muy débil / ruido,Negativa,0.0399
capital_inicial_usd,roi_anualizado_pct,-0.039,0.0015,0.005787,True,-0.0667,-0.0113,-0.0354,0.012387,Muy débil / ruido,Negativa,0.039
sacrificio_total,score_exito,0.0386,0.0015,0.006305,True,0.0109,0.0663,0.0325,0.021451,Muy débil / ruido,Positiva,0.0386
score_exito,bienestar_psicologico,-0.0374,0.0014,0.008188,True,-0.065,-0.0097,-0.0285,0.043859,Muy débil / ruido,Negativa,0.0374
attr_trabajo_duro_pct,attr_suerte_pct,-0.0373,0.0014,0.008308,True,-0.065,-0.0096,-0.039,0.005789,Muy débil / ruido,Negativa,0.0373
sacrificio_familia,attr_disciplina_pct,-0.0369,0.0014,0.008987,True,-0.0646,-0.0092,-0.0377,0.007691,Muy débil / ruido,Negativa,0.0369
sacrificio_familia,attr_vision_pct,0.0345,0.0012,0.014746,True,0.0068,0.0621,0.0392,0.005583,Muy débil / ruido,Positiva,0.0345
attr_red_pct,attr_capital_inicial_pct,-0.034,0.0012,0.016289,True,-0.0616,-0.0063,-0.0303,0.032099,Muy débil / ruido,Negativa,0.034
patrimonio_m_usd,score_resiliencia,0.0323,0.001,0.022295,True,0.0046,0.06,0.0008,0.953461,Muy débil / ruido,Positiva,0.0323
sacrificio_amor_pareja,attr_red_pct,0.0319,0.001,0.02404,True,0.0042,0.0596,0.0339,0.016602,Muy débil / ruido,Positiva,0.0319
divorcios_num,satisfaccion_vida,-0.0318,0.001,0.024613,True,-0.0595,-0.0041,-0.0391,0.005671,Muy débil / ruido,Negativa,0.0318
sacrificio_total,attr_disciplina_pct,-0.0303,0.0009,0.031883,True,-0.058,-0.0026,-0.0379,0.007304,Muy débil / ruido,Negativa,0.0303
bienestar_psicologico,attr_conocimiento_pct,0.0301,0.0009,0.033081,True,0.0024,0.0578,0.0273,0.053897,Muy débil / ruido,Positiva,0.0301
sueno_horas_noche,ejercicio_dias_sem,0.0301,0.0009,0.033214,True,0.0024,0.0578,0.0291,0.039785,Muy débil / ruido,Positiva,0.0301
sacrificio_familia,attr_conocimiento_pct,-0.0294,0.0009,0.037441,True,-0.0571,-0.0017,-0.026,0.06629,Muy débil / ruido,Negativa,0.0294
sacrificio_sueno,attr_disciplina_pct,-0.0292,0.0009,0.038989,True,-0.0569,-0.0015,-0.0374,0.008214,Muy débil / ruido,Negativa,0.0292
anos_primer_millon,sacrificio_sueno,-0.029,0.0008,0.040466,True,-0.0567,-0.0013,-0.0281,0.047222,Muy débil / ruido,Negativa,0.029
bienestar_psicologico,attr_red_pct,-0.029,0.0008,0.04016,True,-0.0567,-0.0013,-0.0296,0.036238,Muy débil / ruido,Negativa,0.029
sacrificio_salud,attr_suerte_pct,0.029,0.0008,0.040343,True,0.0013,0.0567,0.0277,0.050314,Muy débil / ruido,Positiva,0.029
divorcios_num,sueno_horas_noche,-0.0289,0.0008,0.041349,True,-0.0565,-0.0011,-0.0271,0.055695,Muy débil / ruido,Negativa,0.0289
sacrificio_amor_pareja,attr_disciplina_pct,-0.0275,0.0008,0.051834,False,-0.0552,0.0002,-0.0329,0.02014,Muy débil / ruido,Negativa,0.0275
satisfaccion_vida,attr_capital_inicial_pct,0.0274,0.0008,0.052815,False,-0.0003,0.0551,0.0273,0.053952,Muy débil / ruido,Positiva,0.0274
score_red_contactos,satisfaccion_vida,-0.0269,0.0007,0.057126,False,-0.0546,0.0008,-0.0282,0.046096,Muy débil / ruido,Negativa,0.0269
sacrificio_sueno,ejercicio_dias_sem,0.0266,0.0007,0.059785,False,-0.0011,0.0543,0.0223,0.115078,Muy débil / ruido,Positiva,0.0266
capital_inicial_usd,score_disciplina,-0.0263,0.0007,0.062648,False,-0.054,0.0014,-0.0256,0.070666,Muy débil / ruido,Negativa,0.0263
sacrificio_ocio_hobbies,attr_trabajo_duro_pct,-0.0261,0.0007,0.064535,False,-0.0538,0.0016,-0.0273,0.05385,Muy débil / ruido,Negativa,0.0261
sacrificio_salud,divorcios_num,0.0261,0.0007,0.064693,False,-0.0016,0.0538,0.0191,0.17624,Muy débil / ruido,Positiva,0.0261
score_red_contactos,attr_oportunidad_pct,-0.0261,0.0007,0.064494,False,-0.0538,0.0016,-0.0229,0.105475,Muy débil / ruido,Negativa,0.0261
anos_trayectoria_total,sacrificio_total,0.026,0.0007,0.065499,False,-0.0017,0.0537,0.0237,0.093976,Muy débil / ruido,Positiva,0.026
score_vision,attr_oportunidad_pct,-0.026,0.0007,0.065988,False,-0.0537,0.0017,-0.0222,0.116247,Muy débil / ruido,Negativa,0.026
sacrificio_sueno,attr_oportunidad_pct,0.0259,0.0007,0.067249,False,-0.0018,0.0536,0.0287,0.042748,Muy débil / ruido,Positiva,0.0259
anos_trayectoria_total,sacrificio_ocio_hobbies,0.0258,0.0007,0.068574,False,-0.002,0.0534,0.019,0.178889,Muy débil / ruido,Positiva,0.0258
horas_sem_pico,attr_disciplina_pct,-0.0255,0.0007,0.070853,False,-0.0532,0.0022,-0.0363,0.010257,Muy débil / ruido,Negativa,0.0255
sacrificio_total,attr_red_pct,0.0253,0.0006,0.073837,False,-0.0024,0.053,0.0279,0.048547,Muy débil / ruido,Positiva,0.0253
anos_primer_millon,sacrificio_familia,0.0253,0.0006,0.073616,False,-0.0024,0.053,0.0235,0.095965,Muy débil / ruido,Positiva,0.0253
anos_primer_millon,divorcios_num,-0.0249,0.0006,0.078701,False,-0.0526,0.0029,-0.0272,0.054234,Muy débil / ruido,Negativa,0.0249
sacrificio_salud,score_conocimiento,-0.0243,0.0006,0.085226,False,-0.052,0.0034,-0.0208,0.141662,Muy débil / ruido,Negativa,0.0243
capital_inicial_usd,score_conocimiento,0.0243,0.0006,0.085564,False,-0.0034,0.052,0.0252,0.075295,Muy débil / ruido,Positiva,0.0243
roi_anualizado_pct,score_resiliencia,0.0234,0.0005,0.097665,False,-0.0043,0.0511,0.0251,0.075753,Muy débil / ruido,Positiva,0.0234
capital_inicial_usd,hijos_num,-0.0233,0.0005,0.099841,False,-0.051,0.0044,-0.0134,0.343729,Muy débil / ruido,Negativa,0.0233
sacrificio_amor_pareja,attr_vision_pct,0.0231,0.0005,0.101742,False,-0.0046,0.0508,0.0235,0.097069,Muy débil / ruido,Positiva,0.0231
sacrificio_total,attr_vision_pct,0.0229,0.0005,0.105244,False,-0.0048,0.0506,0.0236,0.094625,Muy débil / ruido,Positiva,0.0229
sacrificio_salud,attr_capital_inicial_pct,-0.0227,0.0005,0.108319,False,-0.0504,0.005,-0.0183,0.196744,Muy débil / ruido,Negativa,0.0227
score_conocimiento,attr_suerte_pct,0.0227,0.0005,0.109086,False,-0.0051,0.0504,0.0217,0.124761,Muy débil / ruido,Positiva,0.0227
hijos_num,attr_red_pct,0.0223,0.0005,0.115599,False,-0.0055,0.0499,0.0149,0.291917,Muy débil / ruido,Positiva,0.0223
sacrificio_salud,score_exito,0.0223,0.0005,0.115167,False,-0.0054,0.05,0.029,0.040236,Muy débil / ruido,Positiva,0.0223
capital_inicial_usd,score_resiliencia,0.0222,0.0005,0.11701,False,-0.0056,0.0499,0.0149,0.293536,Muy débil / ruido,Positiva,0.0222
score_red_contactos,attr_conocimiento_pct,0.022,0.0005,0.120065,False,-0.0057,0.0497,0.0226,0.110567,Muy débil / ruido,Positiva,0.022
sacrificio_ocio_hobbies,attr_red_pct,0.0219,0.0005,0.121126,False,-0.0058,0.0496,0.0227,0.109099,Muy débil / ruido,Positiva,0.0219
score_disciplina,score_exito,0.0219,0.0005,0.122286,False,-0.0059,0.0495,0.0093,0.511748,Muy débil / ruido,Positiva,0.0219
anos_trayectoria_total,empleos_generados,-0.0216,0.0005,0.126354,False,-0.0493,0.0061,0.0001,0.995356,Muy débil / ruido,Negativa,0.0216
horas_sem_pico,attr_red_pct,0.0215,0.0005,0.128484,False,-0.0062,0.0492,0.0226,0.11027,Muy débil / ruido,Positiva,0.0215
sacrificio_amigos,score_exito,0.0214,0.0005,0.12975,False,-0.0063,0.0491,0.0169,0.232475,Muy débil / ruido,Positiva,0.0214
sacrificio_total,attr_suerte_pct,0.0213,0.0005,0.132751,False,-0.0065,0.049,0.0187,0.187047,Muy débil / ruido,Positiva,0.0213
edad_inicio,attr_conocimiento_pct,0.0212,0.0004,0.133708,False,-0.0065,0.0489,0.0209,0.13904,Muy débil / ruido,Positiva,0.0212
anos_trayectoria_total,attr_suerte_pct,0.0211,0.0004,0.135263,False,-0.0066,0.0488,0.0194,0.171059,Muy débil / ruido,Positiva,0.0211
divorcios_num,score_exito,-0.0209,0.0004,0.139765,False,-0.0486,0.0068,-0.0194,0.170911,Muy débil / ruido,Negativa,0.0209
roi_anualizado_pct,bienestar_psicologico,-0.0208,0.0004,0.141928,False,-0.0485,0.007,-0.0106,0.452322,Muy débil / ruido,Negativa,0.0208
anos_primer_millon,attr_red_pct,0.0208,0.0004,0.140803,False,-0.0069,0.0485,0.0189,0.182285,Muy débil / ruido,Positiva,0.0208
horas_sem_pico,attr_suerte_pct,0.0207,0.0004,0.143062,False,-0.007,0.0484,0.0169,0.231711,Muy débil / ruido,Positiva,0.0207
anos_trayectoria_total,divorcios_num,-0.0206,0.0004,0.144853,False,-0.0483,0.0071,-0.0152,0.282126,Muy débil / ruido,Negativa,0.0206
edad_inicio,sacrificio_amigos,-0.0205,0.0004,0.147325,False,-0.0482,0.0072,-0.0177,0.210431,Muy débil / ruido,Negativa,0.0205
score_vision,attr_trabajo_duro_pct,0.0204,0.0004,0.148954,False,-0.0073,0.0481,0.0216,0.126553,Muy débil / ruido,Positiva,0.0204
sacrificio_total,divorcios_num,0.0203,0.0004,0.151348,False,-0.0074,0.048,0.0203,0.151195,Muy débil / ruido,Positiva,0.0203
score_conocimiento,sueno_horas_noche,-0.0202,0.0004,0.152946,False,-0.0479,0.0075,-0.0089,0.527923,Muy débil / ruido,Negativa,0.0202
ejercicio_dias_sem,attr_suerte_pct,-0.0199,0.0004,0.159455,False,-0.0476,0.0078,-0.011,0.43496,Muy débil / ruido,Negativa,0.0199
score_disciplina,divorcios_num,-0.0199,0.0004,0.159743,False,-0.0476,0.0078,-0.026,0.06616,Muy débil / ruido,Negativa,0.0199
empleos_generados,attr_vision_pct,0.0198,0.0004,0.161782,False,-0.0079,0.0475,0.0203,0.150781,Muy débil / ruido,Positiva,0.0198
score_resiliencia,divorcios_num,0.0197,0.0004,0.164481,False,-0.0081,0.0474,0.0165,0.244322,Muy débil / ruido,Positiva,0.0197
score_resiliencia,score_exito,0.0195,0.0004,0.167621,False,-0.0082,0.0472,0.0159,0.259584,Muy débil / ruido,Positiva,0.0195
capital_inicial_usd,attr_red_pct,0.0194,0.0004,0.171185,False,-0.0084,0.047,0.0227,0.108604,Muy débil / ruido,Positiva,0.0194
anos_primer_millon,score_conocimiento,0.0193,0.0004,0.172021,False,-0.0084,0.047,0.023,0.103744,Muy débil / ruido,Positiva,0.0193
edad_inicio,score_disciplina,-0.0192,0.0004,0.175143,False,-0.0469,0.0085,-0.0204,0.149947,Muy débil / ruido,Negativa,0.0192
ejercicio_dias_sem,attr_conocimiento_pct,0.0192,0.0004,0.175559,False,-0.0086,0.0469,0.0143,0.31076,Muy débil / ruido,Positiva,0.0192
sacrificio_ocio_hobbies,score_disciplina,-0.0192,0.0004,0.175657,False,-0.0468,0.0086,-0.016,0.259148,Muy débil / ruido,Negativa,0.0192
bienestar_psicologico,attr_vision_pct,-0.0191,0.0004,0.176113,False,-0.0468,0.0086,-0.0177,0.210963,Muy débil / ruido,Negativa,0.0191
satisfaccion_vida,attr_suerte_pct,-0.019,0.0004,0.178851,False,-0.0467,0.0087,-0.0158,0.262629,Muy débil / ruido,Negativa,0.019
hijos_num,attr_trabajo_duro_pct,-0.019,0.0004,0.179869,False,-0.0467,0.0088,-0.0133,0.346212,Muy débil / ruido,Negativa,0.019
horas_sem_pico,attr_vision_pct,0.0189,0.0004,0.180619,False,-0.0088,0.0466,0.0227,0.108446,Muy débil / ruido,Positiva,0.0189
sueno_horas_noche,empleos_generados,0.0189,0.0004,0.180394,False,-0.0088,0.0466,0.0081,0.567365,Muy débil / ruido,Positiva,0.0189
sacrificio_ocio_hobbies,attr_suerte_pct,0.0188,0.0004,0.182889,False,-0.0089,0.0465,0.0161,0.255172,Muy débil / ruido,Positiva,0.0188
anos_primer_millon,attr_conocimiento_pct,-0.0187,0.0004,0.18535,False,-0.0464,0.009,-0.0267,0.059122,Muy débil / ruido,Negativa,0.0187
sueno_horas_noche,attr_conocimiento_pct,0.0187,0.0003,0.186132,False,-0.009,0.0464,0.016,0.257497,Muy débil / ruido,Positiva,0.0187
capital_inicial_usd,sueno_horas_noche,0.0186,0.0003,0.188315,False,-0.0091,0.0463,0.0129,0.362151,Muy débil / ruido,Positiva,0.0186
divorcios_num,attr_vision_pct,0.0185,0.0003,0.190485,False,-0.0092,0.0462,0.0139,0.326864,Muy débil / ruido,Positiva,0.0185
attr_vision_pct,attr_suerte_pct,-0.0185,0.0003,0.18989,False,-0.0462,0.0092,-0.0246,0.081816,Muy débil / ruido,Negativa,0.0185
anos_trayectoria_total,sacrificio_salud,0.0184,0.0003,0.193479,False,-0.0093,0.0461,0.0208,0.141828,Muy débil / ruido,Positiva,0.0184
sueno_horas_noche,attr_trabajo_duro_pct,-0.0183,0.0003,0.195817,False,-0.046,0.0094,-0.0182,0.19735,Muy débil / ruido,Negativa,0.0183
sacrificio_familia,attr_red_pct,0.0183,0.0003,0.196959,False,-0.0095,0.0459,0.0204,0.149613,Muy débil / ruido,Positiva,0.0183
score_resiliencia,attr_vision_pct,-0.018,0.0003,0.204408,False,-0.0456,0.0098,-0.0157,0.266027,Muy débil / ruido,Negativa,0.018
sacrificio_familia,score_conocimiento,-0.0179,0.0003,0.206555,False,-0.0456,0.0099,-0.013,0.356903,Muy débil / ruido,Negativa,0.0179
sacrificio_amor_pareja,sueno_horas_noche,0.0178,0.0003,0.207135,False,-0.0099,0.0455,0.021,0.137101,Muy débil / ruido,Positiva,0.0178
anos_trayectoria_total,score_resiliencia,-0.0176,0.0003,0.213488,False,-0.0453,0.0101,-0.0186,0.188762,Muy débil / ruido,Negativa,0.0176
score_disciplina,attr_trabajo_duro_pct,0.0176,0.0003,0.213178,False,-0.0101,0.0453,0.0125,0.376183,Muy débil / ruido,Positiva,0.0176
sacrificio_familia,attr_suerte_pct,0.0175,0.0003,0.216625,False,-0.0102,0.0452,0.0094,0.507788,Muy débil / ruido,Positiva,0.0175
patrimonio_m_usd,sacrificio_sueno,-0.0175,0.0003,0.216479,False,-0.0452,0.0102,0.0068,0.630087,Muy débil / ruido,Negativa,0.0175
sacrificio_ocio_hobbies,score_exito,0.0174,0.0003,0.21839,False,-0.0103,0.0451,0.013,0.358519,Muy débil / ruido,Positiva,0.0174
edad_inicio,capital_inicial_usd,0.0174,0.0003,0.219189,False,-0.0103,0.0451,0.025,0.076992,Muy débil / ruido,Positiva,0.0174
sacrificio_amor_pareja,divorcios_num,0.0174,0.0003,0.217728,False,-0.0103,0.0451,0.0176,0.212124,Muy débil / ruido,Positiva,0.0174
