,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
sacrificio_amigos,-0.0177,-0.0059,0.0107,0.0136,0.0129,-0.0091,0.5488,0.3413,0.3253,0.3253,1.0,0.3765,0.3591,0.6465,-0.0181,0.016,0.0126,-0.0119,-0.0024,0.0207,-0.0009,-0.0181,-0.0048,0.0174,0.0169,-0.4755,-0.1666,-0.0139,-0.0059,0.003,0.0113,-0.0041,0.0061,0.0015,0.0084
sacrificio_ocio_hobbies,-0.0086,0.0014,0.019,0.0023,0.0187,-0.0063,0.7,0.4418,0.4067,0.4127,0.3765,1.0,0.4624,0.7314,-0.016,0.0086,-0.003,0.0008,-0.0063,0.009,-0.0023,-0.0022,-0.0055,0.0035,0.013,-0.527,-0.1887,-0.0107,0.0074,-0.0097,0.0227,-0.0273,0.0101,0.0161,-0.0047
sacrificio_sueno,0.0069,-0.0281,-0.0145,0.012,0.0068,0.0095,0.6627,0.4078,0.3691,0.3682,0.3591,0.4624,1.0,0.7102,0.0107,-0.01,0.009,0.0018,-0.0066,0.0107,0.0082,-0.0166,0.0223,0.0184,0.015,-0.5076,-0.1728,-0.0374,0.0287,-0.0033,0.009,-0.0048,0.0128,0.009,-0.0089
sacrificio_total,-0.0093,0.005,0.0237,0.0106,0.0382,0.0055,0.8899,0.694,0.6623,0.6748,0.6465,0.7314,0.7102,1.0,-0.0048,-0.0015,0.006,-0.0006,-0.0117,0.0203,-0.0014,-0.0044,0.012,0.0112,0.0325,-0.7142,-0.2473,-0.0379,0.0069,-0.0109,0.0279,-0.0008,0.0236,0.0187,-0.0034
score_disciplina,-0.0204,0.0024,0.014,-0.0256,0.0098,0.0119,-0.0057,-0.0004,0.0048,-0.0029,-0.0181,-0.016,0.0107,-0.0048,1.0,0.0012,-0.0049,-0.0021,0.0035,-0.026,0.0026,-0.0086,0.0119,-0.0126,0.0093,-0.005,0.4361,-0.0084,0.0026,0.0176,-0.0144,0.0125,-0.0002,0.0001,0.0177
score_conocimiento,-0.0004,0.023,0.0086,0.0252,-0.0047,-0.0139,-0.0077,-0.013,-0.0208,0.008,0.016,0.0086,-0.01,-0.0015,0.0012,1.0,-0.0038,-0.0009,-0.0148,-0.0016,0.0123,-0.0089,-0.0091,0.0047,-0.0084,0.0016,-0.0046,0.0047,0.0001,-0.0161,0.0021,0.0146,-0.0173,0.0217,-0.0036
score_red_contactos,0.0024,0.0031,-0.0032,0.0092,0.0102,-0.0032,0.0003,0.0125,0.0024,0.0066,0.0126,-0.003,0.009,0.006,-0.0049,-0.0038,1.0,-0.0008,-0.0073,0.0155,0.0106,-0.0159,0.0115,-0.008,0.0095,-0.0031,-0.0282,-0.0119,-0.0229,0.0226,0.0209,-0.0012,0.006,0.0015,0.0048
score_vision,-0.0024,0.0062,-0.0008,0.014,0.0105,0.0156,-0.0158,0.0064,0.0028,0.0052,-0.0119,0.0008,0.0018,-0.0006,-0.0021,-0.0009,-0.0008,1.0,-0.0038,0.0014,0.0028,-0.0232,-0.0132,-0.0002,0.1897,0.0083,-0.0093,0.0119,-0.0222,0.0118,-0.0071,0.0216,-0.0025,-0.0033,-0.0114
score_resiliencia,0.0098,-0.0144,-0.0186,0.0149,0.0008,0.0251,-0.0139,-0.0147,-0.0115,-0.0002,-0.0024,-0.0063,-0.0066,-0.0117,0.0035,-0.0148,-0.0073,-0.0038,1.0,0.0165,-0.0055,0.002,-0.0163,-0.0034,0.0159,0.015,0.0078,0.0142,-0.0015,-0.0038,0.0012,0.0118,-0.0157,-0.0124,-0.002
divorcios_num,0.0117,-0.0272,-0.0152,-0.0091,-0.0304,-0.0039,0.0124,0.0032,0.0191,0.0176,0.0207,0.009,0.0107,0.0203,-0.026,-0.0016,0.0155,0.0014,0.0165,1.0,0.0153,-0.0271,0.0027,0.0029,-0.0194,-0.0155,-0.0391,0.0007,-0.008,0.0105,0.0049,-0.0019,0.0139,-0.0165,-0.0083
hijos_num,0.0023,0.0188,0.0085,-0.0134,0.0041,-0.0037,0.006,0.0013,0.0011,0.003,-0.0009,-0.0023,0.0082,-0.0014,0.0026,0.0123,0.0106,0.0028,-0.0055,0.0153,1.0,-0.0112,-0.0112,0.0004,-0.0025,-0.0141,-0.0058,0.0028,-0.0133,0.006,0.0149,-0.0133,0.0032,-0.0001,-0.0156
sueno_horas_noche,-0.0092,0.0095,-0.001,0.0129,-0.0035,-0.0008,-0.0175,0.0017,-0.005,0.021,-0.0181,-0.0022,-0.0166,-0.0044,-0.0086,-0.0089,-0.0159,-0.0232,0.002,-0.0271,-0.0112,1.0,0.0291,0.0081,-0.0077,0.0017,0.0037,-0.001,0.0098,0.016,-0.0088,-0.0182,0.0047,-0.0068,-0.0123
ejercicio_dias_sem,-0.0127,-0.0071,-0.0074,-0.0027,-0.0003,-0.0128,0.014,0.0159,0.0057,0.0121,-0.0048,-0.0055,0.0223,0.012,0.0119,-0.0091,0.0115,-0.0132,-0.0163,0.0027,-0.0112,0.0291,1.0,-0.013,-0.0105,-0.0097,-0.0045,-0.0052,0.0035,0.0143,-0.0117,-0.0054,0.008,-0.011,0.0039
empleos_generados,0.016,0.002,0.0001,-0.0188,0.0035,0.016,0.0222,-0.0158,0.0203,0.0174,0.0174,0.0035,0.0184,0.0112,-0.0126,0.0047,-0.008,-0.0002,-0.0034,0.0029,0.0004,0.0081,-0.013,1.0,0.3829,-0.0235,-0.0083,0.0189,-0.0206,-0.0225,0.0051,-0.0068,0.0203,0.0203,-0.0016
score_exito,-0.0182,0.158,0.2059,0.074,0.7039,0.579,0.0178,0.0697,0.029,0.0093,0.0169,0.013,0.015,0.0325,0.0093,-0.0084,0.0095,0.1897,0.0159,-0.0194,-0.0025,-0.0077,-0.0105,0.3829,1.0,-0.0285,0.0046,0.0014,-0.0098,0.0085,0.003,0.0175,0.0052,-0.0005,-0.0102
bienestar_psicologico,0.0085,-0.0132,-0.0168,-0.0151,-0.0272,-0.0106,-0.6385,-0.5043,-0.4691,-0.4929,-0.4755,-0.527,-0.5076,-0.7142,-0.005,0.0016,-0.0031,0.0083,0.015,-0.0155,-0.0141,0.0017,-0.0097,-0.0235,-0.0285,1.0,0.1702,0.0252,-0.0022,0.0273,-0.0296,-0.0075,-0.0177,-0.0049,-0.0017
satisfaccion_vida,0.0015,-0.0083,-0.0091,0.009,-0.0018,0.0018,-0.2127,-0.1796,-0.1704,-0.1605,-0.1666,-0.1887,-0.1728,-0.2473,0.4361,-0.0046,-0.0282,-0.0093,0.0078,-0.0391,-0.0058,0.0037,-0.0045,-0.0083,0.0046,0.1702,1.0,0.0088,-0.0089,0.0081,-0.0082,0.0089,-0.0047,-0.0158,0.0273
attr_disciplina_pct,0.0005,-0.0075,-0.0104,-0.0155,-0.0144,-0.0027,-0.0363,-0.0377,-0.0159,-0.0329,-0.0139,-0.0107,-0.0374,-0.0379,-0.0084,0.0047,-0.0119,0.0119,0.0142,0.0007,0.0028,-0.001,-0.0052,0.0189,0.0014,0.0252,0.0088,1.0,-0.3176,-0.2937,-0.2654,-0.246,-0.1928,-0.1499,-0.0565
attr_oportunidad_pct,-0.0187,0.0016,-0.0022,-0.0064,-0.0065,0.0017,0.007,-0.002,0.0015,-0.0081,-0.0059,0.0074,0.0287,0.0069,0.0026,0.0001,-0.0229,-0.0222,-0.0015,-0.008,-0.0133,0.0098,0.0035,-0.0206,-0.0098,-0.0022,-0.0089,-0.3176,1.0,-0.2136,-0.2183,-0.1395,-0.1059,-0.0605,-0.0608
attr_conocimiento_pct,0.0209,-0.0267,-0.0054,0.0065,0.0065,0.0184,-0.012,-0.026,-0.0099,-0.0024,0.003,-0.0097,-0.0033,-0.0109,0.0176,-0.0161,0.0226,0.0118,-0.0038,0.0105,0.006,0.016,0.0143,-0.0225,0.0085,0.0273,0.0081,-0.2937,-0.2136,1.0,-0.1401,-0.1058,-0.0666,-0.0568,-0.0476
attr_red_pct,-0.0028,0.0189,0.0141,0.0227,0.0111,-0.008,0.0226,0.0204,0.0171,0.0339,0.0113,0.0227,0.009,0.0279,-0.0144,0.0021,0.0209,-0.0071,0.0012,0.0049,0.0149,-0.0088,-0.0117,0.0051,0.003,-0.0296,-0.0082,-0.2654,-0.2183,-0.1401,1.0,-0.1142,-0.1068,-0.0309,-0.0303
attr_trabajo_duro_pct,-0.0019,0.0195,0.0075,0.0083,0.0267,0.0189,0.0055,0.0338,0.0029,0.001,-0.0041,-0.0273,-0.0048,-0.0008,0.0125,0.0146,-0.0012,0.0216,0.0118,-0.0019,-0.0133,-0.0182,-0.0054,-0.0068,0.0175,-0.0075,0.0089,-0.246,-0.1395,-0.1058,-0.1142,1.0,-0.0534,-0.039,-0.008
attr_vision_pct,0.0123,-0.0115,0.0075,-0.0113,-0.0061,-0.0064,0.0227,0.0392,0.0112,0.0235,0.0061,0.0101,0.0128,0.0236,-0.0002,-0.0173,0.006,-0.0025,-0.0157,0.0139,0.0032,0.0047,0.008,0.0203,0.0052,-0.0177,-0.0047,-0.1928,-0.1059,-0.0666,-0.1068,-0.0534,1.0,-0.0246,-0.0079
attr_suerte_pct,-0.0136,0.005,0.0194,-0.0058,-0.0033,-0.0116,0.0169,0.0094,0.0277,-0.0017,0.0015,0.0161,0.009,0.0187,0.0001,0.0217,0.0015,-0.0033,-0.0124,-0.0165,-0.0001,-0.0068,-0.011,0.0203,-0.0005,-0.0049,-0.0158,-0.1499,-0.0605,-0.0568,-0.0309,-0.039,-0.0246,1.0,0.0039
attr_capital_inicial_pct,-0.0037,0.0033,0.0053,0.003,-0.0008,0.0009,-0.005,0.0149,-0.0183,-0.003,0.0084,-0.0047,-0.0089,-0.0034,0.0177,-0.0036,0.0048,-0.0114,-0.002,-0.0083,-0.0156,-0.0123,0.0039,-0.0016,-0.0102,-0.0017,0.0273,-0.0565,-0.0608,-0.0476,-0.0303,-0.008,-0.0079,0.0039,1.0
