variable,categoria,frecuencia,porcentaje
id,SUJ-0069,1,0.02
id,SUJ-0070,1,0.02
id,SUJ-0071,1,0.02
id,SUJ-0072,1,0.02
id,SUJ-0073,1,0.02
id,SUJ-0074,1,0.02
id,SUJ-0075,1,0.02
id,SUJ-0076,1,0.02
id,SUJ-0077,1,0.02
id,SUJ-0078,1,0.02
id,SUJ-0079,1,0.02
id,SUJ-0080,1,0.02
id,SUJ-0081,1,0.02
id,SUJ-0082,1,0.02
id,SUJ-0083,1,0.02
id,SUJ-0084,1,0.02
id,SUJ-0085,1,0.02
id,SUJ-0086,1,0.02
id,SUJ-0087,1,0.02
id,SUJ-0088,1,0.02
id,SUJ-0089,1,0.02
id,SUJ-0090,1,0.02
id,SUJ-0091,1,0.02
id,SUJ-0092,1,0.02
id,SUJ-0093,1,0.02
id,SUJ-0094,1,0.02
id,SUJ-0095,1,0.02
id,SUJ-0096,1,0.02
id,SUJ-0097,1,0.02
id,SUJ-0098,1,0.02
id,SUJ-0099,1,0.02
id,SUJ-0100,1,0.02
id,SUJ-0101,1,0.02
id,SUJ-0102,1,0.02
id,SUJ-0103,1,0.02
id,SUJ-0104,1,0.02
id,SUJ-0105,1,0.02
id,SUJ-0106,1,0.02
id,SUJ-0107,1,0.02
id,SUJ-0108,1,0.02
id,SUJ-0109,1,0.02
id,SUJ-0110,1,0.02
id,SUJ-0111,1,0.02
id,SUJ-0112,1,0.02
id,SUJ-0113,1,0.02
id,SUJ-0114,1,0.02
id,SUJ-0115,1,0.02
id,SUJ-0116,1,0.02
id,SUJ-0117,1,0.02
id,SUJ-0118,1,0.02
id,SUJ-0119,1,0.02
id,SUJ-0120,1,0.02
id,SUJ-0121,1,0.02
id,SUJ-0122,1,0.02
id,SUJ-0123,1,0.02
id,SUJ-0124,1,0.02
id,SUJ-0125,1,0.02
id,SUJ-0126,1,0.02
id,SUJ-0127,1,0.02
id,SUJ-0128,1,0.02
id,SUJ-0129,1,0.02
id,SUJ-0130,1,0.02
id,SUJ-0131,1,0.02
id,SUJ-0132,1,0.02
id,SUJ-0133,1,0.02
id,SUJ-0134,1,0.02
id,SUJ-0135,1,0.02
id,SUJ-0136,1,0.02
id,SUJ-0137,1,0.02
id,SUJ-0138,1,0.02
id,SUJ-0139,1,0.02
id,SUJ-0140,1,0.02
id,SUJ-0141,1,0.02
id,SUJ-0142,1,0.02
id,SUJ-0143,1,0.02
id,SUJ-0144,1,0.02
id,SUJ-0145,1,0.02
id,SUJ-0146,1,0.02
id,SUJ-0147,1,0.02
id,SUJ-0148,1,0.02
id,SUJ-0149,1,0.02
id,SUJ-0150,1,0.02
id,SUJ-0151,1,0.02
id,SUJ-0152,1,0.02
id,SUJ-0153,1,0.02
id,SUJ-0154,1,0.02
id,SUJ-0155,1,0.02
id,SUJ-0156,1,0.02
id,SUJ-0157,1,0.02
id,SUJ-0158,1,0.02
id,SUJ-0159,1,0.02
id,SUJ-0160,1,0.02
id,SUJ-0161,1,0.02
id,SUJ-0162,1,0.02
id,SUJ-0163,1,0.02
id,SUJ-0164,1,0.02
id,SUJ-0165,1,0.02
id,SUJ-0166,1,0.02
id,SUJ-0167,1,0.02
id,SUJ-0168,1,0.02
id,SUJ-0169,1,0.02
id,SUJ-0170,1,0.02
id,SUJ-0171,1,0.02
id,SUJ-0172,1,0.02
id,SUJ-0173,1,0.02
id,SUJ-0174,1,0.02
id,SUJ-0175,1,0.02
id,SUJ-0176,1,0.02
id,SUJ-0177,1,0.02
id,SUJ-0178,1,0.02
id,SUJ-0179,1,0.02
id,SUJ-0180,1,0.02
id,SUJ-0181,1,0.02
id,SUJ-0182,1,0.02
id,SUJ-0183,1,0.02
id,SUJ-0184,1,0.02
id,SUJ-0185,1,0.02
id,SUJ-0186,1,0.02
id,SUJ-0187,1,0.02
id,SUJ-0188,1,0.02
id,SUJ-0189,1,0.02
id,SUJ-0190,1,0.02
id,SUJ-0191,1,0.02
id,SUJ-0192,1,0.02
id,SUJ-0193,1,0.02
id,SUJ-0194,1,0.02
id,SUJ-0195,1,0.02
id,SUJ-0196,1,0.02
id,SUJ-0197,1,0.02
id,SUJ-0198,1,0.02
id,SUJ-0199,1,0.02
id,SUJ-0200,1,0.02
id,SUJ-0201,1,0.02
id,SUJ-0202,1,0.02
id,SUJ-0203,1,0.02
id,SUJ-0204,1,0.02
id,SUJ-0205,1,0.02
id,SUJ-0206,1,0.02
id,SUJ-0207,1,0.02
id,SUJ-0208,1,0.02
id,SUJ-0209,1,0.02
id,SUJ-0210,1,0.02
id,SUJ-0211,1,0.02
id,SUJ-0212,1,0.02
id,SUJ-0213,1,0.02
id,SUJ-0214,1,0.02
id,SUJ-0215,1,0.02
id,SUJ-0216,1,0.02
id,SUJ-0217,1,0.02
id,SUJ-0218,1,0.02
id,SUJ-0219,1,0.02
id,SUJ-0220,1,0.02
id,SUJ-0221,1,0.02
id,SUJ-0222,1,0.02
id,SUJ-0223,1,0.02
id,SUJ-0224,1,0.02
id,SUJ-0225,1,0.02
id,SUJ-0226,1,0.02
id,SUJ-0227,1,0.02
id,SUJ-0228,1,0.02
id,SUJ-0229,1,0.02
id,SUJ-0230,1,0.02
id,SUJ-0231,1,0.02
id,SUJ-0232,1,0.02
id,SUJ-0233,1,0.02
id,SUJ-0234,1,0.02
id,SUJ-0235,1,0.02
id,SUJ-0236,1,0.02
id,SUJ-0237,1,0.02
id,SUJ-0238,1,0.02
id,SUJ-0239,1,0.02
id,SUJ-0240,1,0.02
id,SUJ-0241,1,0.02
id,SUJ-0242,1,0.02
id,SUJ-0243,1,0.02
id,SUJ-0244,1,0.02
id,SUJ-0245,1,0.02
id,SUJ-0246,1,0.02
id,SUJ-0247,1,0.02
id,SUJ-0248,1,0.02
id,SUJ-0249,1,0.02
id,SUJ-0250,1,0.02
id,SUJ-0251,1,0.02
id,SUJ-0252,1,0.02
id,SUJ-0253,1,0.02
id,SUJ-0254,1,0.02
id,SUJ-0255,1,0.02
id,SUJ-0256,1,0.02
id,SUJ-0257,1,0.02
id,SUJ-0258,1,0.02
id,SUJ-0259,1,0.02
id,SUJ-0260,1,0.02
id,SUJ-0261,1,0.02
id,SUJ-0262,1,0.02
id,SUJ-0263,1,0.02
id,SUJ-0264,1,0.02
id,SUJ-0265,1,0.02
id,SUJ-0266,1,0.02
id,SUJ-0267,1,0.02
id,SUJ-0268,1,0.02
id,SUJ-0269,1,0.02
id,SUJ-0270,1,0.02
id,SUJ-0271,1,0.02
id,SUJ-0272,1,0.02
id,SUJ-0273,1,0.02
id,SUJ-0274,1,0.02
id,SUJ-0275,1,0.02
id,SUJ-0276,1,0.02
id,SUJ-0277,1,0.02
id,SUJ-0278,1,0.02
id,SUJ-0279,1,0.02
id,SUJ-0280,1,0.02
id,SUJ-0281,1,0.02
id,SUJ-0282,1,0.02
id,SUJ-0283,1,0.02
id,SUJ-0284,1,0.02
id,SUJ-0285,1,0.02
id,SUJ-0286,1,0.02
id,SUJ-0287,1,0.02
id,SUJ-0288,1,0.02
id,SUJ-0289,1,0.02
id,SUJ-0290,1,0.02
id,SUJ-0291,1,0.02
id,SUJ-0292,1,0.02
id,SUJ-0293,1,0.02
id,SUJ-0294,1,0.02
id,SUJ-0295,1,0.02
id,SUJ-0296,1,0.02
id,SUJ-0297,1,0.02
id,SUJ-0298,1,0.02
id,SUJ-0299,1,0.02
id,SUJ-0300,1,0.02
id,SUJ-0301,1,0.02
id,SUJ-0302,1,0.02
id,SUJ-0303,1,0.02
id,SUJ-0304,1,0.02
id,SUJ-0305,1,0.02
id,SUJ-0306,1,0.02
id,SUJ-0307,1,0.02
id,SUJ-0308,1,0.02
id,SUJ-0309,1,0.02
id,SUJ-0310,1,0.02
id,SUJ-0311,1,0.02
id,SUJ-0312,1,0.02
id,SUJ-0313,1,0.02
id,SUJ-0314,1,0.02
id,SUJ-0315,1,0.02
id,SUJ-0316,1,0.02
id,SUJ-0317,1,0.02
id,SUJ-0318,1,0.02
id,SUJ-0319,1,0.02
id,SUJ-0320,1,0.02
id,SUJ-0321,1,0.02
id,SUJ-0322,1,0.02
id,SUJ-0323,1,0.02
id,SUJ-0324,1,0.02
id,SUJ-0325,1,0.02
id,SUJ-0326,1,0.02
id,SUJ-0327,1,0.02
id,SUJ-0328,1,0.02
id,SUJ-0329,1,0.02
id,SUJ-0330,1,0.02
id,SUJ-0331,1,0.02
id,SUJ-0332,1,0.02
id,SUJ-0333,1,0.02
id,SUJ-0334,1,0.02
id,SUJ-0335,1,0.02
id,SUJ-0336,1,0.02
id,SUJ-0337,1,0.02
id,SUJ-0338,1,0.02
id,SUJ-0339,1,0.02
id,SUJ-0340,1,0.02
id,SUJ-0341,1,0.02
id,SUJ-0342,1,0.02
id,SUJ-0343,1,0.02
id,SUJ-0344,1,0.02
id,SUJ-0345,1,0.02
id,SUJ-0346,1,0.02
id,SUJ-0347,1,0.02
id,SUJ-0348,1,0.02
id,SUJ-0349,1,0.02
id,SUJ-0350,1,0.02
id,SUJ-0351,1,0.02
id,SUJ-0352,1,0.02
id,SUJ-0353,1,0.02
id,SUJ-0354,1,0.02
id,SUJ-0355,1,0.02
id,SUJ-0356,1,0.02
id,SUJ-0357,1,0.02
id,SUJ-0358,1,0.02
id,SUJ-0359,1,0.02
id,SUJ-0360,1,0.02
id,SUJ-0361,1,0.02
id,SUJ-0362,1,0.02
id,SUJ-0363,1,0.02
id,SUJ-0364,1,0.02
id,SUJ-0365,1,0.02
id,SUJ-0366,1,0.02
id,SUJ-0367,1,0.02
id,SUJ-0368,1,0.02
id,SUJ-0369,1,0.02
id,SUJ-0370,1,0.02
id,SUJ-0371,1,0.02
id,SUJ-0372,1,0.02
id,SUJ-0373,1,0.02
id,SUJ-0374,1,0.02
id,SUJ-0375,1,0.02
id,SUJ-0376,1,0.02
id,SUJ-0377,1,0.02
id,SUJ-0378,1,0.02
id,SUJ-0379,1,0.02
id,SUJ-0380,1,0.02
id,SUJ-0381,1,0.02
id,SUJ-0382,1,0.02
id,SUJ-0383,1,0.02
id,SUJ-0384,1,0.02
id,SUJ-0385,1,0.02
id,SUJ-0386,1,0.02
id,SUJ-0387,1,0.02
id,SUJ-0388,1,0.02
id,SUJ-0389,1,0.02
id,SUJ-0390,1,0.02
id,SUJ-0391,1,0.02
id,SUJ-0392,1,0.02
id,SUJ-0393,1,0.02
id,SUJ-0394,1,0.02
id,SUJ-0395,1,0.02
id,SUJ-0396,1,0.02
id,SUJ-0397,1,0.02
id,SUJ-0398,1,0.02
id,SUJ-0399,1,0.02
id,SUJ-0400,1,0.02
id,SUJ-0401,1,0.02
id,SUJ-0402,1,0.02
id,SUJ-0403,1,0.02
id,SUJ-0404,1,0.02
id,SUJ-0405,1,0.02
id,SUJ-0406,1,0.02
id,SUJ-0407,1,0.02
id,SUJ-0408,1,0.02
id,SUJ-0409,1,0.02
id,SUJ-0410,1,0.02
id,SUJ-0411,1,0.02
id,SUJ-0412,1,0.02
id,SUJ-0413,1,0.02
id,SUJ-0414,1,0.02
id,SUJ-0415,1,0.02
id,SUJ-0416,1,0.02
id,SUJ-0417,1,0.02
id,SUJ-0418,1,0.02
id,SUJ-0419,1,0.02
id,SUJ-0420,1,0.02
id,SUJ-0421,1,0.02
id,SUJ-0422,1,0.02
id,SUJ-0423,1,0.02
id,SUJ-0424,1,0.02
id,SUJ-0425,1,0.02
id,SUJ-0426,1,0.02
id,SUJ-0427,1,0.02
id,SUJ-0428,1,0.02
id,SUJ-0429,1,0.02
id,SUJ-0430,1,0.02
id,SUJ-0431,1,0.02
id,SUJ-0432,1,0.02
id,SUJ-0433,1,0.02
id,SUJ-0434,1,0.02
id,SUJ-0435,1,0.02
id,SUJ-0436,1,0.02
id,SUJ-0437,1,0.02
id,SUJ-0438,1,0.02
id,SUJ-0439,1,0.02
id,SUJ-0440,1,0.02
id,SUJ-0441,1,0.02
id,SUJ-0442,1,0.02
id,SUJ-0443,1,0.02
id,SUJ-0444,1,0.02
id,SUJ-0445,1,0.02
id,SUJ-0446,1,0.02
id,SUJ-0447,1,0.02
id,SUJ-0448,1,0.02
id,SUJ-0449,1,0.02
id,SUJ-0450,1,0.02
id,SUJ-0451,1,0.02
id,SUJ-0452,1,0.02
id,SUJ-0453,1,0.02
id,SUJ-0454,1,0.02
id,SUJ-0455,1,0.02
id,SUJ-0456,1,0.02
id,SUJ-0457,1,0.02
id,SUJ-0458,1,0.02
id,SUJ-0459,1,0.02
id,SUJ-0460,1,0.02
id,SUJ-0461,1,0.02
id,SUJ-0462,1,0.02
id,SUJ-0463,1,0.02
id,SUJ-0464,1,0.02
id,SUJ-0465,1,0.02
id,SUJ-0466,1,0.02
id,SUJ-0467,1,0.02
id,SUJ-0468,1,0.02
id,SUJ-0469,1,0.02
id,SUJ-0470,1,0.02
id,SUJ-0471,1,0.02
id,SUJ-0472,1,0.02
id,SUJ-0473,1,0.02
id,SUJ-0474,1,0.02
id,SUJ-0475,1,0.02
id,SUJ-0476,1,0.02
id,SUJ-0477,1,0.02
id,SUJ-0478,1,0.02
id,SUJ-0479,1,0.02
id,SUJ-0480,1,0.02
id,SUJ-0481,1,0.02
id,SUJ-0482,1,0.02
id,SUJ-0483,1,0.02
id,SUJ-0484,1,0.02
id,SUJ-0485,1,0.02
id,SUJ-0486,1,0.02
id,SUJ-0487,1,0.02
id,SUJ-0488,1,0.02
id,SUJ-0489,1,0.02
id,SUJ-0490,1,0.02
id,SUJ-0491,1,0.02
id,SUJ-0492,1,0.02
id,SUJ-0493,1,0.02
id,SUJ-0494,1,0.02
id,SUJ-0495,1,0.02
id,SUJ-0496,1,0.02
id,SUJ-0497,1,0.02
id,SUJ-0498,1,0.02
id,SUJ-0499,1,0.02
id,SUJ-0500,1,0.02
id,SUJ-0501,1,0.02
id,SUJ-0502,1,0.02
id,SUJ-0503,1,0.02
id,SUJ-0504,1,0.02
id,SUJ-0505,1,0.02
id,SUJ-0506,1,0.02
id,SUJ-0507,1,0.02
id,SUJ-0508,1,0.02
id,SUJ-0509,1,0.02
id,SUJ-0510,1,0.02
id,SUJ-0511,1,0.02
id,SUJ-0512,1,0.02
id,SUJ-0513,1,0.02
id,SUJ-0514,1,0.02
id,SUJ-0515,1,0.02
id,SUJ-0516,1,0.02
id,SUJ-0517,1,0.02
id,SUJ-0518,1,0.02
id,SUJ-0519,1,0.02
id,SUJ-0520,1,0.02
id,SUJ-0521,1,0.02
id,SUJ-0522,1,0.02
id,SUJ-0523,1,0.02
id,SUJ-0524,1,0.02
id,SUJ-0525,1,0.02
id,SUJ-0526,1,0.02
id,SUJ-0527,1,0.02
id,SUJ-0528,1,0.02
id,SUJ-0529,1,0.02
id,SUJ-0530,1,0.02
id,SUJ-0531,1,0.02
id,SUJ-0532,1,0.02
id,SUJ-0533,1,0.02
id,SUJ-0534,1,0.02
id,SUJ-0535,1,0.02
id,SUJ-0536,1,0.02
id,SUJ-0537,1,0.02
id,SUJ-0538,1,0.02
id,SUJ-0539,1,0.02
id,SUJ-0540,1,0.02
id,SUJ-0541,1,0.02
id,SUJ-0542,1,0.02
id,SUJ-0543,1,0.02
id,SUJ-0544,1,0.02
id,SUJ-0545,1,0.02
id,SUJ-0546,1,0.02
id,SUJ-0547,1,0.02
id,SUJ-0548,1,0.02
id,SUJ-0549,1,0.02
id,SUJ-0550,1,0.02
id,SUJ-0551,1,0.02
id,SUJ-0552,1,0.02
id,SUJ-0553,1,0.02
id,SUJ-0554,1,0.02
id,SUJ-0555,1,0.02
id,SUJ-0556,1,0.02
id,SUJ-0557,1,0.02
id,SUJ-0558,1,0.02
id,SUJ-0559,1,0.02
id,SUJ-0560,1,0.02
id,SUJ-0561,1,0.02
id,SUJ-0562,1,0.02
id,SUJ-0563,1,0.02
id,SUJ-0564,1,0.02
id,SUJ-0565,1,0.02
id,SUJ-0566,1,0.02
id,SUJ-0567,1,0.02
id,SUJ-0568,1,0.02
id,SUJ-0569,1,0.02
id,SUJ-0570,1,0.02
id,SUJ-0571,1,0.02
id,SUJ-0572,1,0.02
id,SUJ-0573,1,0.02
id,SUJ-0574,1,0.02
id,SUJ-0575,1,0.02
id,SUJ-0576,1,0.02
id,SUJ-0577,1,0.02
id,SUJ-0578,1,0.02
id,SUJ-0579,1,0.02
id,SUJ-0580,1,0.02
id,SUJ-0581,1,0.02
id,SUJ-0582,1,0.02
id,SUJ-0583,1,0.02
id,SUJ-0584,1,0.02
id,SUJ-0585,1,0.02
id,SUJ-0586,1,0.02
id,SUJ-0587,1,0.02
id,SUJ-0588,1,0.02
id,SUJ-0589,1,0.02
id,SUJ-0590,1,0.02
id,SUJ-0591,1,0.02
id,SUJ-0592,1,0.02
id,SUJ-0593,1,0.02
id,SUJ-0594,1,0.02
id,SUJ-0595,1,0.02
id,SUJ-0596,1,0.02
id,SUJ-0597,1,0.02
id,SUJ-0598,1,0.02
id,SUJ-0599,1,0.02
id,SUJ-0600,1,0.02
id,SUJ-0601,1,0.02
id,SUJ-0602,1,0.02
id,SUJ-0603,1,0.02
id,SUJ-0604,1,0.02
id,SUJ-0605,1,0.02
id,SUJ-0606,1,0.02
id,SUJ-0607,1,0.02
id,SUJ-0608,1,0.02
id,SUJ-0609,1,0.02
id,SUJ-0610,1,0.02
id,SUJ-0611,1,0.02
id,SUJ-0612,1,0.02
id,SUJ-0613,1,0.02
id,SUJ-0614,1,0.02
id,SUJ-0615,1,0.02
id,SUJ-0616,1,0.02
id,SUJ-0617,1,0.02
id,SUJ-0618,1,0.02
id,SUJ-0619,1,0.02
id,SUJ-0620,1,0.02
id,SUJ-0621,1,0.02
id,SUJ-0622,1,0.02
id,SUJ-0623,1,0.02
id,SUJ-0624,1,0.02
id,SUJ-0625,1,0.02
id,SUJ-0626,1,0.02
id,SUJ-0627,1,0.02
id,SUJ-0628,1,0.02
id,SUJ-0629,1,0.02
id,SUJ-0630,1,0.02
id,SUJ-0631,1,0.02
id,SUJ-0632,1,0.02
id,SUJ-0633,1,0.02
id,SUJ-0634,1,0.02
id,SUJ-0635,1,0.02
id,SUJ-0636,1,0.02
id,SUJ-0637,1,0.02
id,SUJ-0638,1,0.02
id,SUJ-0639,1,0.02
id,SUJ-0640,1,0.02
id,SUJ-0641,1,0.02
id,SUJ-0642,1,0.02
id,SUJ-0643,1,0.02
id,SUJ-0644,1,0.02
id,SUJ-0645,1,0.02
id,SUJ-0646,1,0.02
id,SUJ-0647,1,0.02
id,SUJ-0648,1,0.02
id,SUJ-0649,1,0.02
id,SUJ-0650,1,0.02
id,SUJ-0651,1,0.02
id,SUJ-0652,1,0.02
id,SUJ-0653,1,0.02
id,SUJ-0654,1,0.02
id,SUJ-0655,1,0.02
id,SUJ-0656,1,0.02
id,SUJ-0657,1,0.02
id,SUJ-0658,1,0.02
id,SUJ-0659,1,0.02
id,SUJ-0660,1,0.02
id,SUJ-0661,1,0.02
id,SUJ-0662,1,0.02
id,SUJ-0663,1,0.02
id,SUJ-0664,1,0.02
id,SUJ-0665,1,0.02
id,SUJ-0666,1,0.02
id,SUJ-0667,1,0.02
id,SUJ-0668,1,0.02
id,SUJ-0669,1,0.02
id,SUJ-0670,1,0.02
id,SUJ-0671,1,0.02
id,SUJ-0672,1,0.02
id,SUJ-0673,1,0.02
id,SUJ-0674,1,0.02
id,SUJ-0675,1,0.02
id,SUJ-0676,1,0.02
id,SUJ-0677,1,0.02
id,SUJ-0678,1,0.02
id,SUJ-0679,1,0.02
id,SUJ-0680,1,0.02
id,SUJ-0681,1,0.02
id,SUJ-0682,1,0.02
id,SUJ-0683,1,0.02
id,SUJ-0684,1,0.02
id,SUJ-0685,1,0.02
id,SUJ-0686,1,0.02
id,SUJ-0687,1,0.02
id,SUJ-0688,1,0.02
id,SUJ-0689,1,0.02
id,SUJ-0690,1,0.02
id,SUJ-0691,1,0.02
id,SUJ-0692,1,0.02
id,SUJ-0693,1,0.02
id,SUJ-0694,1,0.02
id,SUJ-0695,1,0.02
id,SUJ-0696,1,0.02
id,SUJ-0697,1,0.02
id,SUJ-0698,1,0.02
id,SUJ-0699,1,0.02
id,SUJ-0700,1,0.02
id,SUJ-0701,1,0.02
id,SUJ-0702,1,0.02
id,SUJ-0703,1,0.02
id,SUJ-0704,1,0.02
id,SUJ-0705,1,0.02
id,SUJ-0706,1,0.02
id,SUJ-0707,1,0.02
id,SUJ-0708,1,0.02
id,SUJ-0709,1,0.02
id,SUJ-0710,1,0.02
id,SUJ-0711,1,0.02
id,SUJ-0712,1,0.02
id,SUJ-0713,1,0.02
id,SUJ-0714,1,0.02
id,SUJ-0715,1,0.02
id,SUJ-0716,1,0.02
id,SUJ-0717,1,0.02
id,SUJ-0718,1,0.02
id,SUJ-0719,1,0.02
id,SUJ-0720,1,0.02
id,SUJ-0721,1,0.02
id,SUJ-0722,1,0.02
id,SUJ-0723,1,0.02
id,SUJ-0724,1,0.02
id,SUJ-0725,1,0.02
id,SUJ-0726,1,0.02
id,SUJ-0727,1,0.02
id,SUJ-0728,1,0.02
id,SUJ-0729,1,0.02
id,SUJ-0730,1,0.02
id,SUJ-0731,1,0.02
id,SUJ-0732,1,0.02
id,SUJ-0733,1,0.02
id,SUJ-0734,1,0.02
id,SUJ-0735,1,0.02
id,SUJ-0736,1,0.02
id,SUJ-0737,1,0.02
id,SUJ-0738,1,0.02
id,SUJ-0739,1,0.02
id,SUJ-0740,1,0.02
id,SUJ-0741,1,0.02
id,SUJ-0742,1,0.02
id,SUJ-0743,1,0.02
id,SUJ-0744,1,0.02
id,SUJ-0745,1,0.02
id,SUJ-0746,1,0.02
id,SUJ-0747,1,0.02
id,SUJ-0748,1,0.02
id,SUJ-0749,1,0.02
id,SUJ-0750,1,0.02
id,SUJ-0751,1,0.02
id,SUJ-0752,1,0.02
id,SUJ-0753,1,0.02
id,SUJ-0754,1,0.02
id,SUJ-0755,1,0.02
id,SUJ-0756,1,0.02
id,SUJ-0757,1,0.02
id,SUJ-0758,1,0.02
id,SUJ-0759,1,0.02
id,SUJ-0760,1,0.02
id,SUJ-0761,1,0.02
id,SUJ-0762,1,0.02
id,SUJ-0763,1,0.02
id,SUJ-0764,1,0.02
id,SUJ-0765,1,0.02
id,SUJ-0766,1,0.02
id,SUJ-0767,1,0.02
id,SUJ-0768,1,0.02
id,SUJ-0769,1,0.02
id,SUJ-0770,1,0.02
id,SUJ-0771,1,0.02
id,SUJ-0772,1,0.02
id,SUJ-0773,1,0.02
id,SUJ-0774,1,0.02
id,SUJ-0775,1,0.02
id,SUJ-0776,1,0.02
id,SUJ-0777,1,0.02
id,SUJ-0778,1,0.02
id,SUJ-0779,1,0.02
id,SUJ-0780,1,0.02
id,SUJ-0781,1,0.02
id,SUJ-0782,1,0.02
id,SUJ-0783,1,0.02
id,SUJ-0784,1,0.02
id,SUJ-0785,1,0.02
id,SUJ-0786,1,0.02
id,SUJ-0787,1,0.02
id,SUJ-0788,1,0.02
id,SUJ-0789,1,0.02
id,SUJ-0790,1,0.02
id,SUJ-0791,1,0.02
id,SUJ-0792,1,0.02
id,SUJ-0793,1,0.02
id,SUJ-0794,1,0.02
id,SUJ-0795,1,0.02
id,SUJ-0796,1,0.02
id,SUJ-0797,1,0.02
id,SUJ-0798,1,0.02
id,SUJ-0799,1,0.02
id,SUJ-0800,1,0.02
id,SUJ-0801,1,0.02
id,SUJ-0802,1,0.02
id,SUJ-0803,1,0.02
id,SUJ-0804,1,0.02
id,SUJ-0805,1,0.02
id,SUJ-0806,1,0.02
id,SUJ-0807,1,0.02
id,SUJ-0808,1,0.02
id,SUJ-0809,1,0.02
id,SUJ-0810,1,0.02
id,SUJ-0811,1,0.02
id,SUJ-0812,1,0.02
id,SUJ-0813,1,0.02
id,SUJ-0814,1,0.02
id,SUJ-0815,1,0.02
id,SUJ-0816,1,0.02
id,SUJ-0817,1,0.02
id,SUJ-0818,1,0.02
id,SUJ-0819,1,0.02
id,SUJ-0820,1,0.02
id,SUJ-0821,1,0.02
id,SUJ-0822,1,0.02
id,SUJ-0823,1,0.02
id,SUJ-0824,1,0.02
id,SUJ-0825,1,0.02
id,SUJ-0826,1,0.02
id,SUJ-0827,1,0.02
id,SUJ-0828,1,0.02
id,SUJ-0829,1,0.02
id,SUJ-0830,1,0.02
id,SUJ-0831,1,0.02
id,SUJ-0832,1,0.02
id,SUJ-0833,1,0.02
id,SUJ-0834,1,0.02
id,SUJ-0835,1,0.02
id,SUJ-0836,1,0.02
id,SUJ-0837,1,0.02
id,SUJ-0838,1,0.02
id,SUJ-0839,1,0.02
id,SUJ-0840,1,0.02
id,SUJ-0841,1,0.02
id,SUJ-0842,1,0.02
id,SUJ-0843,1,0.02
id,SUJ-0844,1,0.02
id,SUJ-0845,1,0.02
id,SUJ-0846,1,0.02
id,SUJ-0847,1,0.02
id,SUJ-0848,1,0.02
id,SUJ-0849,1,0.02
id,SUJ-0850,1,0.02
id,SUJ-0851,1,0.02
id,SUJ-0852,1,0.02
id,SUJ-0853,1,0.02
id,SUJ-0854,1,0.02
id,SUJ-0855,1,0.02
id,SUJ-0856,1,0.02
id,SUJ-0857,1,0.02
id,SUJ-0858,1,0.02
id,SUJ-0859,1,0.02
id,SUJ-0860,1,0.02
id,SUJ-0861,1,0.02
id,SUJ-0862,1,0.02
id,SUJ-0863,1,0.02
id,SUJ-0864,1,0.02
id,SUJ-0865,1,0.02
id,SUJ-0866,1,0.02
id,SUJ-0867,1,0.02
id,SUJ-0868,1,0.02
id,SUJ-0869,1,0.02
id,SUJ-0870,1,0.02
id,SUJ-0871,1,0.02
id,SUJ-0872,1,0.02
