,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
divorcios_num,0.0088,-0.0249,-0.0206,-0.0051,0.0081,-0.0094,0.0172,0.0028,0.0261,0.0174,0.0166,0.0128,0.0084,0.0203,-0.0199,0.0014,0.0108,-0.003,0.0197,1.0,0.0069,-0.0289,0.0048,0.0082,-0.0209,-0.0168,-0.0318,-0.0014,-0.0075,0.0041,0.0004,0.002,0.0185,-0.0106,-0.0116
hijos_num,-0.0008,0.0167,0.008,-0.0233,0.014,-0.0007,0.0094,0.0035,0.0002,0.0058,-0.008,-0.0027,0.0085,0.0019,0.0053,0.0081,0.0105,-0.0033,-0.0023,0.0069,1.0,-0.0107,-0.0138,-0.0147,-0.0042,-0.0071,-0.0118,0.003,-0.0083,0.0004,0.0223,-0.019,0.0047,-0.0039,-0.0126
sueno_horas_noche,-0.0109,0.0095,0.0005,0.0186,0.0123,0.0004,-0.0093,0.0021,-0.0022,0.0178,-0.0111,0.0013,-0.0075,0.0002,-0.0109,-0.0202,-0.0123,-0.0164,0.0006,-0.0289,-0.0107,1.0,0.0301,0.0189,0.0048,-0.0003,0.005,-0.008,0.0132,0.0187,-0.0051,-0.0183,0.0075,-0.0123,-0.0101
ejercicio_dias_sem,-0.0139,-0.0053,-0.0067,-0.0058,0.0095,-0.0126,0.0144,0.014,0.0057,0.0117,0.0044,-0.0033,0.0266,0.0145,0.0109,-0.0088,0.0133,-0.012,-0.0127,0.0048,-0.0138,0.0301,1.0,-0.0071,-0.0045,-0.0082,-0.0055,-0.0044,0.0017,0.0192,-0.0115,-0.0028,0.0079,-0.0199,0.0085
empleos_generados,-0.0168,-0.0111,-0.0216,0.0133,0.0043,0.0064,0.0092,-0.0085,0.0161,-0.0154,0.0129,0.0099,0.0166,0.0073,-0.0157,0.003,-0.0051,-0.0008,-0.0084,0.0082,-0.0147,0.0189,-0.0071,1.0,0.2345,-0.0109,-0.006,0.0066,-0.0054,-0.0058,-0.0003,-0.0129,0.0198,0.0071,-0.0078
score_exito,-0.0139,0.2039,0.277,0.0856,0.4872,0.5955,0.0158,0.0834,0.0223,0.005,0.0214,0.0174,0.0136,0.0386,0.0219,-0.0055,0.0083,0.1696,0.0195,-0.0209,-0.0042,0.0048,-0.0045,0.2345,1.0,-0.0374,0.0004,-0.005,-0.0165,0.0061,0.008,0.0153,0.0024,0.0007,-0.0089
bienestar_psicologico,0.0049,-0.0098,-0.0162,-0.0065,-0.0162,-0.0208,-0.6447,-0.5118,-0.4835,-0.4965,-0.4815,-0.5295,-0.5142,-0.7199,-0.0044,0.006,0.0007,0.0037,0.0107,-0.0168,-0.0071,-0.0003,-0.0082,-0.0109,-0.0374,1.0,0.1735,0.017,-0.0057,0.0301,-0.029,-0.0015,-0.0191,-0.0112,-0.0008
satisfaccion_vida,0.0016,-0.0113,-0.0044,0.0064,0.0021,-0.0008,-0.2132,-0.1856,-0.1789,-0.1627,-0.1719,-0.1928,-0.1745,-0.2541,0.4495,0.0018,-0.0269,-0.0064,0.0032,-0.0318,-0.0118,0.005,-0.0055,-0.006,0.0004,0.1735,1.0,0.016,-0.0143,0.0058,-0.0149,0.0108,-0.0064,-0.019,0.0274
attr_disciplina_pct,0.002,-0.008,-0.0102,-0.0065,-0.0023,-0.0073,-0.0255,-0.0369,-0.0153,-0.0275,-0.008,-0.0092,-0.0292,-0.0303,-0.0135,-0.0011,-0.0166,0.0132,0.014,-0.0014,0.003,-0.008,-0.0044,0.0066,-0.005,0.017,0.016,1.0,-0.3349,-0.3165,-0.2805,-0.2571,-0.1931,-0.1463,-0.06
attr_oportunidad_pct,-0.017,0.0029,-0.0024,-0.0108,0.0077,0.0022,0.0084,-0.003,0.0067,-0.0026,-0.0012,0.0113,0.0259,0.0086,0.0027,0.0014,-0.0261,-0.026,-0.001,-0.0075,-0.0083,0.0132,0.0017,-0.0054,-0.0165,-0.0057,-0.0143,-0.3349,1.0,-0.2223,-0.2262,-0.1588,-0.1123,-0.068,-0.0656
attr_conocimiento_pct,0.0212,-0.0187,-0.004,0.0054,-0.0019,0.0152,-0.0165,-0.0294,-0.0109,-0.003,-0.0001,-0.0114,-0.0099,-0.0153,0.0096,-0.0098,0.022,0.0091,-0.0101,0.0041,0.0004,0.0187,0.0192,-0.0058,0.0061,0.0301,0.0058,-0.3165,-0.2223,1.0,-0.1443,-0.098,-0.0666,-0.0588,-0.0425
attr_red_pct,-0.0027,0.0208,0.0127,0.0194,0.0037,-0.0056,0.0215,0.0183,0.0118,0.0319,0.0071,0.0219,0.0146,0.0253,-0.0115,0.0027,0.017,-0.0023,-0.0007,0.0004,0.0223,-0.0051,-0.0115,-0.0003,0.008,-0.029,-0.0149,-0.2805,-0.2262,-0.1443,1.0,-0.1217,-0.1159,-0.0399,-0.034
attr_trabajo_duro_pct,-0.0047,0.0135,-0.0009,0.0018,-0.0052,0.0131,0.0023,0.0407,0.0003,-0.0046,-0.006,-0.0261,-0.0081,-0.0006,0.0176,0.0092,0.0091,0.0204,0.0137,0.002,-0.019,-0.0183,-0.0028,-0.0129,0.0153,-0.0015,0.0108,-0.2571,-0.1588,-0.098,-0.1217,1.0,-0.0572,-0.0373,-0.0072
attr_vision_pct,0.0111,-0.0138,-0.0006,-0.0124,-0.0003,-0.0127,0.0189,0.0345,0.0091,0.0231,0.0092,0.0064,0.0131,0.0229,-0.0034,-0.0154,0.0085,-0.0105,-0.018,0.0185,0.0047,0.0075,0.0079,0.0198,0.0024,-0.0191,-0.0064,-0.1931,-0.1123,-0.0666,-0.1159,-0.0572,1.0,-0.0185,-0.01
attr_suerte_pct,-0.0119,0.0059,0.0211,0.0006,-0.001,-0.0114,0.0207,0.0175,0.029,0.0019,0.0056,0.0188,0.017,0.0213,0.0035,0.0227,-0.0009,-0.0047,-0.0152,-0.0106,-0.0039,-0.0123,-0.0199,0.0071,0.0007,-0.0112,-0.019,-0.1463,-0.068,-0.0588,-0.0399,-0.0373,-0.0185,1.0,0.0116
attr_capital_inicial_pct,0.0008,0.0046,0.0023,0.0126,-0.0113,0.0008,-0.0066,0.0148,-0.0227,0.0032,0.0096,-0.0056,-0.0118,-0.003,0.0159,-0.0012,0.0089,-0.0124,-0.0037,-0.0116,-0.0126,-0.0101,0.0085,-0.0078,-0.0089,-0.0008,0.0274,-0.06,-0.0656,-0.0425,-0.034,-0.0072,-0.01,0.0116,1.0
