,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
sacrificio_amigos,0.147325,0.759675,0.242398,0.43929,0.503582,0.764466,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.221744,0.620541,0.458995,0.459215,0.804038,0.241431,0.569844,0.431771,0.754525,0.361491,0.12975,0.0,0.0,0.569332,0.930145,0.994704,0.616437,0.671665,0.513472,0.694677,0.495241
sacrificio_ocio_hobbies,0.242874,0.628732,0.068574,0.541243,0.937884,0.961717,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.175657,0.467822,0.976803,0.958268,0.876681,0.363975,0.850381,0.925977,0.817735,0.483317,0.21839,0.0,0.0,0.513879,0.426264,0.421154,0.121126,0.064535,0.648951,0.182889,0.694625
sacrificio_sueno,0.636224,0.040466,0.296873,0.949848,0.216479,0.271779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.807463,0.636003,0.605373,0.940452,0.966827,0.550852,0.547772,0.596145,0.059785,0.241753,0.335134,0.0,0.0,0.038989,0.067249,0.484314,0.300894,0.565353,0.355865,0.229278,0.403106
sacrificio_total,0.483169,0.717165,0.065499,0.96909,0.533093,0.37437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.475532,0.641849,0.465795,0.996899,0.766483,0.151348,0.895018,0.98604,0.306855,0.606289,0.006305,0.0,0.0,0.031883,0.541345,0.280831,0.073837,0.966212,0.105244,0.132751,0.830173
score_disciplina,0.175143,0.784414,0.36747,0.062648,0.807612,0.325507,0.525442,0.700923,0.964764,0.751646,0.221744,0.175657,0.807463,0.475532,1.0,0.871399,0.670523,0.719062,0.714172,0.159743,0.707806,0.440197,0.439275,0.265535,0.122286,0.753675,0.0,0.33887,0.847998,0.49568,0.415518,0.213178,0.811049,0.804787,0.261992
score_conocimiento,0.550228,0.172021,0.524867,0.085564,0.975129,0.394129,0.545407,0.206555,0.085226,0.708062,0.620541,0.467822,0.636003,0.641849,0.871399,1.0,0.723276,0.97189,0.251278,0.920147,0.567948,0.152946,0.532433,0.831173,0.695892,0.671026,0.898429,0.940649,0.91887,0.489579,0.851028,0.514716,0.276507,0.109086,0.929732
score_red_contactos,0.819072,0.948547,0.9339,0.748744,0.896838,0.756206,0.976808,0.294596,0.935854,0.547648,0.458995,0.976803,0.605373,0.465795,0.670523,0.723276,1.0,0.715925,0.830939,0.444226,0.457239,0.38555,0.348096,0.71913,0.557107,0.963217,0.057126,0.24018,0.064494,0.120065,0.22967,0.521092,0.549792,0.946806,0.529174
score_vision,0.785137,0.90445,0.940135,0.404624,0.365843,0.3962,0.314978,0.748088,0.741148,0.890609,0.459215,0.958268,0.940452,0.996899,0.719062,0.97189,0.715925,1.0,0.899495,0.832735,0.815209,0.247584,0.396422,0.956132,0.0,0.791085,0.6503,0.350212,0.065988,0.520242,0.868157,0.148954,0.459437,0.740169,0.382473
score_resiliencia,0.301473,0.29009,0.213488,0.11701,0.022295,0.097665,0.571566,0.355932,0.774127,0.926514,0.804038,0.876681,0.966827,0.766483,0.714172,0.251278,0.830939,0.899495,1.0,0.164481,0.869362,0.966595,0.371046,0.554059,0.167621,0.44911,0.823077,0.322375,0.944235,0.476087,0.959336,0.331403,0.204408,0.282555,0.790962
divorcios_num,0.534719,0.078701,0.144853,0.717053,0.566282,0.504529,0.223697,0.845725,0.064693,0.217728,0.241431,0.363975,0.550852,0.151348,0.159743,0.920147,0.444226,0.832735,0.164481,1.0,0.62551,0.041349,0.732065,0.563063,0.139765,0.235473,0.024613,0.921395,0.594826,0.770921,0.97762,0.888485,0.190485,0.455002,0.41059
hijos_num,0.953697,0.237732,0.569626,0.099841,0.321039,0.961983,0.506516,0.807263,0.991099,0.68242,0.569844,0.850381,0.547772,0.895018,0.707806,0.567948,0.457239,0.815209,0.869362,0.62551,1.0,0.45103,0.330236,0.297177,0.76848,0.616772,0.402525,0.8296,0.555649,0.975483,0.115599,0.179869,0.738052,0.782816,0.37179
sueno_horas_noche,0.441502,0.500563,0.971846,0.188315,0.385929,0.979729,0.511018,0.882213,0.873835,0.207135,0.431771,0.925977,0.596145,0.98604,0.440197,0.152946,0.38555,0.247584,0.966595,0.041349,0.45103,1.0,0.033214,0.180394,0.732496,0.983867,0.725215,0.57087,0.351678,0.186132,0.720123,0.195817,0.596636,0.385223,0.476636
ejercicio_dias_sem,0.326021,0.706934,0.635289,0.681576,0.500452,0.373358,0.307377,0.32064,0.689168,0.409754,0.754525,0.817735,0.059785,0.306855,0.439275,0.532433,0.348096,0.396422,0.371046,0.732065,0.330236,0.033214,1.0,0.616239,0.749976,0.560218,0.699469,0.75776,0.905276,0.175559,0.414486,0.843239,0.576409,0.159455,0.547228
empleos_generados,0.235558,0.431307,0.126354,0.345676,0.758875,0.652927,0.513272,0.547129,0.256247,0.275306,0.361491,0.483317,0.241753,0.606289,0.265535,0.831173,0.71913,0.956132,0.554059,0.563063,0.297177,0.180394,0.616239,1.0,0.0,0.440623,0.672482,0.641047,0.700528,0.68281,0.985062,0.360518,0.161782,0.616349,0.581606
score_exito,0.326563,0.0,0.0,0.0,0.0,0.0,0.263354,0.0,0.115167,0.721225,0.12975,0.21839,0.335134,0.006305,0.122286,0.695892,0.557107,0.0,0.167621,0.139765,0.76848,0.732496,0.749976,0.0,1.0,0.008188,0.976914,0.722041,0.243615,0.668272,0.573362,0.278094,0.867582,0.961253,0.53034
bienestar_psicologico,0.728194,0.48907,0.252231,0.643732,0.252581,0.141928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753675,0.671026,0.963217,0.791085,0.44911,0.235473,0.616772,0.983867,0.560218,0.440623,0.008188,1.0,0.0,0.228346,0.687189,0.033081,0.04016,0.91462,0.176113,0.427524,0.953056
satisfaccion_vida,0.908555,0.426386,0.755081,0.651436,0.879895,0.957183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898429,0.057126,0.6503,0.823077,0.024613,0.402525,0.725215,0.699469,0.672482,0.976914,0.0,1.0,0.259272,0.310953,0.679978,0.293345,0.446423,0.650302,0.178851,0.052815
attr_disciplina_pct,0.887042,0.570754,0.471634,0.647361,0.87189,0.607679,0.070853,0.008987,0.279024,0.051834,0.569332,0.513879,0.038989,0.031883,0.33887,0.940649,0.24018,0.350212,0.322375,0.921395,0.8296,0.57087,0.75776,0.641047,0.722041,0.228346,0.259272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-05
attr_oportunidad_pct,0.228229,0.836427,0.863667,0.443965,0.58554,0.877876,0.554664,0.833018,0.637538,0.855141,0.930145,0.426264,0.067249,0.541345,0.847998,0.91887,0.064494,0.065988,0.944235,0.594826,0.555649,0.351678,0.905276,0.700528,0.243615,0.687189,0.310953,0.0,1.0,0.0,0.0,0.0,0.0,1e-06,3e-06
attr_conocimiento_pct,0.133708,0.18535,0.77757,0.700851,0.894955,0.284,0.241992,0.037441,0.442017,0.830774,0.994704,0.421154,0.484314,0.280831,0.49568,0.489579,0.120065,0.520242,0.476087,0.770921,0.975483,0.186132,0.175559,0.68281,0.668272,0.033081,0.679978,0.0,0.0,1.0,0.0,0.0,2e-06,3.2e-05,0.002632
attr_red_pct,0.849815,0.140803,0.369748,0.171185,0.791672,0.692554,0.128484,0.196959,0.403395,0.02404,0.616437,0.121126,0.300894,0.073837,0.415518,0.851028,0.22967,0.868157,0.959336,0.97762,0.115599,0.720123,0.414486,0.985062,0.573362,0.04016,0.293345,0.0,0.0,0.0,1.0,0.0,0.0,0.004812,0.016289
attr_trabajo_duro_pct,0.739408,0.339138,0.951272,0.898557,0.714744,0.354576,0.871806,0.003956,0.983969,0.744044,0.671665,0.064535,0.565353,0.966212,0.213178,0.514716,0.521092,0.148954,0.331403,0.888485,0.179869,0.195817,0.843239,0.360518,0.278094,0.91462,0.446423,0.0,0.0,0.0,0.0,1.0,5.2e-05,0.008308,0.610625
attr_vision_pct,0.432579,0.328217,0.966592,0.380291,0.980428,0.370158,0.180619,0.014746,0.520203,0.101742,0.513472,0.648951,0.355865,0.105244,0.811049,0.276507,0.549792,0.459437,0.204408,0.190485,0.738052,0.596636,0.576409,0.161782,0.867582,0.176113,0.650302,0.0,0.0,2e-06,0.0,5.2e-05,1.0,0.18989,0.480185
attr_suerte_pct,0.398965,0.678617,0.135263,0.965169,0.940889,0.422033,0.143062,0.216625,0.040343,0.89513,0.694677,0.182889,0.229278,0.132751,0.804787,0.109086,0.946806,0.740169,0.282555,0.455002,0.782816,0.385223,0.159455,0.616349,0.961253,0.427524,0.178851,0.0,1e-06,3.2e-05,0.004812,0.008308,0.18989,1.0,0.411117
attr_capital_inicial_pct,0.95406,0.747358,0.87043,0.374266,0.425701,0.953664,0.638318,0.29638,0.108319,0.822675,0.495241,0.694625,0.403106,0.830173,0.261992,0.929732,0.529174,0.382473,0.790962,0.41059,0.37179,0.476636,0.547228,0.581606,0.53034,0.953056,0.052815,2.2e-05,3e-06,0.002632,0.016289,0.610625,0.480185,0.411117,1.0
